feature,rf_importance,gb_importance,lr_importance,perm_importance,perm_std
home_value_mom_pct,0.07959415238419917,0.25403316909355167,0.053522665217804626,0.046009688693977216,0.002694679709226088
home_value_accel,0.04424313491908656,0.016103167809635537,0.07481732353228776,0.03417700523272985,0.0013538839872916993
home_value_vs_baseline_lag6,0.014908454601612234,0.019055555797119744,0.026320572983477543,0.020458887989586654,0.0006976757569554424
home_value_mom_3m_avg,0.042581075874091864,0.0040917680140126955,0.006367540160421969,0.007892126133803102,0.0012001480826894391
inventory_mom_12m_avg,0.02053334314659571,0.04118096220891056,0.009786871452910193,0.0070700321457773715,0.00039270303473948277
avg_sale_to_list_ratio_lag6,0.008618806548029394,0.00493062781512554,0.006127928118311168,0.006380652575466278,0.00035114122668245446
pct_sold_above_list_lag3,0.00836258495544248,0.0041772422632041836,0.0012171805469550743,0.0046848633196514555,0.00039375806856914057
inventory_yoy_pct,0.017351722219281895,0.02999202842706963,0.006213741301449141,0.0045922656372970215,0.000344568768114169
median_price_per_sqft,0.021647201884844015,0.01745101887726338,0.002471551773265693,0.004429413820252487,0.0005986426201909043
pct_sold_above_list_lag6,0.009369477763320177,0.009604616631551868,0.008622258202436055,0.0036314227143528386,0.00018886480996232045
home_value_index,0.02175433359188866,0.03045577104787908,0.019756659179330366,0.0034789861573218893,0.0010662082699364804
home_value_mom_pct_lag6,0.011689845797661086,0.01173579428707434,0.02392866598084708,0.0025646815405233002,0.00031090885573501164
median_owner_home_value,0.017116356821440342,0.052440704217590714,0.008526264557972214,0.0024068418718786954,0.0005161047911293957
inventory_vs_baseline,0.013153668778375949,0.007523899317797282,0.014836629008466537,0.002249479178354841,0.0003742251183154586
home_value_vs_baseline_lag3,0.009810063276417312,0.005482296419457443,0.11761122299315847,0.002219734697054726,0.0002420779122606829
price_to_income_ratio,0.012550142242932034,0.013145210950181483,0.014734856196924098,0.0022122067003744863,0.0002126663009366694
avg_sale_to_list_ratio_lag3,0.008809742589470851,0.001675807237285565,0.002392202720729503,0.0018086368778240992,0.0002282954933896872
taxable_interest_income,0.01292745665583669,0.010622635332734765,0.013250333109221362,0.0017254144933347483,0.0002551224258824795
median_gross_rent,0.013766018823885078,0.018260675873941073,0.013476495760079471,0.0016761023031877874,0.00046249898964180296
median_sale_price,0.021279316808933052,0.01911332824527614,0.00438534344388006,0.0014989080006477696,0.0005805736832207924
tax_returns_filed,0.01147320430558919,0.012007378954530147,0.032034396723821926,0.0014358495439062257,0.00020861078503927417
home_value_vs_baseline,0.02939687600108548,0.00829739078724739,0.057634795020839666,0.0014232253417350682,0.0004730971727666983
price_to_rent_ratio,0.013508894239509192,0.009360796000712487,0.0004066329052093473,0.0013255900983718482,0.0003300218293267859
avg_pay_per_employee,0.010528908765454469,0.01015022807851886,0.00015789600350210896,0.001220155138894785,0.000289062406202711
home_value_mom_12m_avg,0.012749922677827364,0.0017560512280142028,0.09254438582369016,0.0010138614443573114,0.00016406360167451305
home_value_yoy_pct,0.01325007460882575,0.0005437926476125331,0.044180040458482187,0.0009645355704978098,0.00017297770961502735
median_list_price,0.01722311931789683,0.00824207887320283,0.0029369792101112393,0.0008945942063786849,0.00031798555374159046
median_household_income,0.016311851728583644,0.03584641696548397,0.005770845043968225,0.0008330546417225193,0.0005952811241871275
dom_vs_baseline,0.02051785102932264,0.020781858885025567,0.004212956557060323,0.0006519702552059525,0.00039150315263095727
pct_above_list_3m_avg,0.012805868316557566,0.0036253701785503656,0.012032865159576108,0.0006224368940412229,0.00042878584999445784
rent_to_income_ratio,0.009708339764289387,0.005017101616939507,0.009449207435849734,0.0006185077137433104,0.00017597249120542287
cluster,0.005942812301418651,0.011015843558423352,0.005926131021096739,0.0006114723307123315,0.0004604358779930424
total_employment,0.009521108080016783,0.005507086462531751,0.002100137697348386,0.0006097814148129821,0.00021604688385306106
homes_sold,0.014993087914477045,0.04651131370237471,0.08174693122789199,0.0006023570233843645,0.000764250010131743
sale_to_list_3m_avg,0.012774495137025513,0.002696142522423631,0.005647033079584923,0.0003489522615931884,0.0004341763841749155
business_establishments,0.01044029687532497,0.003636145108922211,0.00712648609822947,0.00032687847854632747,0.000159376525604225
inventory_vs_baseline_lag3,0.01130448795339299,0.008468202088454054,0.0009705209362524638,0.00019774528386942714,0.0002625866790604757
owner_occupancy_rate,0.011025616371568235,0.010703420297849178,0.0017938081030299787,0.00011666146815913491,0.0002011970298283789
sale_price_vs_baseline_lag6,0.00798608679559527,0.0021668814141766147,0.0015311362902605445,7.398196893297348e-05,0.0001742554556741821
total_employment_yoy_pct,0.009856002261012813,0.00984870725104333,0.00031545106098583727,5.5542188957707904e-05,0.000221763180009524
sale_price_vs_baseline,0.012454827687897076,0.009270473509181478,0.0030515718566833045,-0.00016144825910723858,0.0004026198543154443
inventory_vs_baseline_lag6,0.010087312703829588,0.00441418108849634,0.004476244546429061,-0.00016736939697908904,0.00019874685147369081
median_gross_rent_yoy_pct,0.01041040055451984,0.011784331463064089,0.0032034338715771923,-0.00018542016855674915,0.00022657251848192205
sale_price_mom_3m_std,0.008727593440662897,0.002468787335210969,0.003682314435780177,-0.00020002264458933715,0.0002403381030996131
inventory_mom_pct,0.007334521838929234,0.004618061701425402,0.007044300379953733,-0.00021925803470454475,0.0002112898662263392
home_value_mom_pct_lag3,0.013241153714610519,0.008079710714107758,0.03372091085308344,-0.0002220162801773451,0.00021388286290977305
