zip,city,county,State
27006,Advance,Davie County,NC
27007,Ararat,Surry County,NC
27009,Belews Creek,Forsyth County,NC
27011,Boonville,Yadkin County,NC
27012,Clemmons,Forsyth County,NC
27013,Cleveland,Rowan County,NC
27014,Cooleemee,Davie County,NC
27016,Danbury,Stokes County,NC
27017,Dobson,Surry County,NC
27018,East Bend,Yadkin County,NC
27019,Germanton,Stokes County,NC
27020,Hamptonville,Yadkin County,NC
27021,King,Stokes County,NC
27022,Lawsonville,Stokes County,NC
27023,Lewisville,Forsyth County,NC
27024,Lowgap,Surry County,NC
27025,Madison,Rockingham County,NC
27027,Mayodan,Rockingham County,NC
27028,Mocksville,Davie County,NC
27030,Mount Airy,Surry County,NC
27040,Pfafftown,Forsyth County,NC
27041,Pilot Mountain,Surry County,NC
27043,Pinnacle,Surry County,NC
27045,Rural Hall,Forsyth County,NC
27046,Sandy Ridge,Stokes County,NC
27048,Stoneville,Rockingham County,NC
27050,Tobaccoville,Forsyth County,NC
27051,Walkertown,Forsyth County,NC
27052,Walnut Cove,Stokes County,NC
27053,Mount Airy,Stokes County,NC
27054,Woodleaf,Rowan County,NC
27055,Yadkinville,Yadkin County,NC
27101,Winston-Salem,Forsyth County,NC
27103,Winston-Salem,Forsyth County,NC
27104,Winston-Salem,Forsyth County,NC
27105,Winston-Salem,Forsyth County,NC
27106,Winston-Salem,Forsyth County,NC
27107,Winston-Salem,Forsyth County,NC
27127,Winston-Salem,Forsyth County,NC
27203,Asheboro,Randolph County,NC
27205,Asheboro,Randolph County,NC
27207,Bear Creek,Chatham County,NC
27208,Bennett,Chatham County,NC
27209,Biscoe,Montgomery County,NC
27212,Blanch,Caswell County,NC
27214,Browns Summit,Guilford County,NC
27215,Burlington,Alamance County,NC
27217,Burlington,Alamance County,NC
27229,Candor,Montgomery County,NC
27231,Cedar Grove,Orange County,NC
27233,Climax,Randolph County,NC
27235,Colfax,Guilford County,NC
27239,Denton,Davidson County,NC
27242,Eagle Springs,Moore County,NC
27243,Efland,Orange County,NC
27244,Elon,Alamance County,NC
27248,Franklinville,Randolph County,NC
27249,Gibsonville,Guilford County,NC
27252,Goldston,Chatham County,NC
27253,Graham,Alamance County,NC
27258,Haw River,Alamance County,NC
27260,High Point,Guilford County,NC
27262,High Point,Guilford County,NC
27263,Archdale,Randolph County,NC
27265,High Point,Guilford County,NC
27278,Hillsborough,Orange County,NC
27281,Jackson Springs,Moore County,NC
27282,Jamestown,Guilford County,NC
27283,Julian,Guilford County,NC
27284,Kernersville,Forsyth County,NC
27288,Eden,Rockingham County,NC
27291,Leasburg,Caswell County,NC
27292,Lexington,Davidson County,NC
27295,Lexington,Davidson County,NC
27298,Liberty,Randolph County,NC
27299,Linwood,Davidson County,NC
27301,,Guilford County,NC
27302,Mebane,Alamance County,NC
27305,Milton,Caswell County,NC
27306,Mount Gilead,Montgomery County,NC
