NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,state,zcta,zip,year
ZCTA5 28650,47831.0,116000.0,770.0,3579,756,37,28650,28650,2013
ZCTA5 28651,34821.0,124600.0,537.0,1825,731,37,28651,28651,2013
ZCTA5 28654,37042.0,108900.0,816.0,1359,298,37,28654,28654,2013
ZCTA5 28655,37295.0,115400.0,621.0,14855,6111,37,28655,28655,2013
ZCTA5 28657,36016.0,125100.0,609.0,3570,798,37,28657,28657,2013
ZCTA5 28658,40405.0,117500.0,666.0,7064,2884,37,28658,28658,2013
ZCTA5 28659,30191.0,105200.0,565.0,5509,2637,37,28659,28659,2013
ZCTA5 28660,48224.0,116500.0,680.0,614,139,37,28660,28660,2013
ZCTA5 28663,36000.0,153600.0,-666666666.0,245,49,37,28663,28663,2013
ZCTA5 28665,42661.0,168100.0,688.0,876,130,37,28665,28665,2013
ZCTA5 28668,44962.0,304900.0,-666666666.0,175,0,37,28668,28668,2013
ZCTA5 28669,29467.0,100600.0,627.0,961,342,37,28669,28669,2013
ZCTA5 28670,27371.0,90200.0,441.0,1020,255,37,28670,28670,2013
ZCTA5 28673,61741.0,267200.0,1044.0,1831,385,37,28673,28673,2013
ZCTA5 28675,33411.0,152800.0,537.0,1916,780,37,28675,28675,2013
ZCTA5 28676,35226.0,117100.0,693.0,1253,260,37,28676,28676,2013
ZCTA5 28677,34793.0,113100.0,717.0,8042,4057,37,28677,28677,2013
ZCTA5 28678,41204.0,96500.0,625.0,1404,569,37,28678,28678,2013
ZCTA5 28679,32204.0,144500.0,803.0,590,275,37,28679,28679,2013
ZCTA5 28681,39819.0,122100.0,577.0,7445,2259,37,28681,28681,2013
ZCTA5 28682,59107.0,366000.0,967.0,402,72,37,28682,28682,2013
ZCTA5 28683,38323.0,91500.0,726.0,669,96,37,28683,28683,2013
ZCTA5 28684,40385.0,171700.0,807.0,898,154,37,28684,28684,2013
ZCTA5 28685,39671.0,105100.0,688.0,614,65,37,28685,28685,2013
ZCTA5 28689,49104.0,150800.0,235.0,576,141,37,28689,28689,2013
ZCTA5 28690,40316.0,119000.0,485.0,2942,978,37,28690,28690,2013
ZCTA5 28692,46667.0,194800.0,869.0,1164,444,37,28692,28692,2013
ZCTA5 28693,47722.0,158800.0,-666666666.0,561,31,37,28693,28693,2013
ZCTA5 28694,35476.0,158600.0,667.0,2528,1041,37,28694,28694,2013
ZCTA5 28697,39945.0,156500.0,562.0,3826,1493,37,28697,28697,2013
ZCTA5 28698,46779.0,165200.0,587.0,613,271,37,28698,28698,2013
ZCTA5 28701,51027.0,188900.0,648.0,1263,256,37,28701,28701,2013
ZCTA5 28702,31635.0,155700.0,-666666666.0,196,16,37,28702,28702,2013
ZCTA5 28704,60077.0,198800.0,862.0,5386,2973,37,28704,28704,2013
ZCTA5 28705,36023.0,120500.0,538.0,2202,661,37,28705,28705,2013
ZCTA5 28707,54000.0,328600.0,-666666666.0,50,0,37,28707,28707,2013
ZCTA5 28708,38889.0,223400.0,-666666666.0,215,23,37,28708,28708,2013
ZCTA5 28709,31406.0,162700.0,490.0,712,167,37,28709,28709,2013
ZCTA5 28711,42271.0,194100.0,777.0,3193,1886,37,28711,28711,2013
ZCTA5 28712,40732.0,173200.0,635.0,5573,2219,37,28712,28712,2013
ZCTA5 28713,43855.0,142600.0,630.0,2778,835,37,28713,28713,2013
ZCTA5 28714,39232.0,136400.0,635.0,5277,1548,37,28714,28714,2013
ZCTA5 28715,43690.0,161900.0,721.0,7492,2817,37,28715,28715,2013
ZCTA5 28716,42557.0,139500.0,710.0,5707,1629,37,28716,28716,2013
ZCTA5 28717,49886.0,454900.0,881.0,746,162,37,28717,28717,2013
ZCTA5 28718,49274.0,320500.0,-666666666.0,131,17,37,28718,28718,2013
ZCTA5 28721,29631.0,153100.0,676.0,2990,1393,37,28721,28721,2013
ZCTA5 28722,43841.0,166500.0,668.0,1853,1036,37,28722,28722,2013
ZCTA5 28723,23613.0,173800.0,579.0,1495,1827,37,28723,28723,2013
ZCTA5 28726,25283.0,111100.0,750.0,890,598,37,28726,28726,2013
