zip,has_zillow,has_redfin,has_acs,has_cbp,has_soi,has_pmms
27006,1.0,1.0,1.0,1.0,0.8,1.0
27007,1.0,0.9666666666666668,1.0,1.0,0.8,1.0
27009,1.0,1.0,1.0,1.0,0.8,1.0
27011,1.0,1.0,1.0,1.0,0.8,1.0
27012,1.0,1.0,1.0,1.0,0.8,1.0
27013,1.0,1.0,1.0,1.0,0.8,1.0
27014,1.0,0.95,1.0,1.0,0.0,1.0
27016,1.0,0.95,1.0,1.0,0.8,1.0
27017,1.0,1.0,1.0,1.0,0.8,1.0
27018,1.0,1.0,1.0,1.0,0.8,1.0
27019,1.0,0.9666666666666668,1.0,1.0,0.8,1.0
27020,1.0,1.0,1.0,1.0,0.8,1.0
27021,1.0,1.0,1.0,1.0,0.8,1.0
27022,1.0,0.7666666666666667,1.0,1.0,0.8,1.0
27023,1.0,1.0,1.0,1.0,0.8,1.0
27024,1.0,0.95,1.0,1.0,0.8,1.0
27025,1.0,1.0,1.0,1.0,0.8,1.0
27027,1.0,1.0,1.0,1.0,0.8,1.0
27028,1.0,1.0,1.0,1.0,0.8,1.0
27030,1.0,1.0,1.0,1.0,0.8,1.0
27040,1.0,1.0,1.0,1.0,0.8,1.0
27041,1.0,1.0,1.0,1.0,0.8,1.0
27043,1.0,1.0,1.0,1.0,0.8,1.0
27045,1.0,1.0,1.0,1.0,0.8,1.0
27046,1.0,0.8333333333333334,1.0,1.0,0.8,1.0
27048,1.0,1.0,1.0,1.0,0.8,1.0
27050,1.0,1.0,1.0,1.0,0.8,1.0
27051,1.0,1.0,1.0,1.0,0.8,1.0
27052,1.0,1.0,1.0,1.0,0.8,1.0
27053,1.0,1.0,1.0,1.0,0.8,1.0
27054,1.0,0.9666666666666668,1.0,1.0,0.8,1.0
27055,1.0,1.0,1.0,1.0,0.8,1.0
27101,1.0,1.0,1.0,1.0,0.8,1.0
27103,1.0,1.0,1.0,1.0,0.8,1.0
27104,1.0,1.0,1.0,1.0,0.8,1.0
27105,1.0,1.0,1.0,1.0,0.8,1.0
27106,1.0,1.0,1.0,1.0,0.8,1.0
27107,1.0,1.0,1.0,1.0,0.8,1.0
27127,1.0,1.0,1.0,1.0,0.8,1.0
27203,1.0,1.0,1.0,1.0,0.8,1.0
27205,1.0,1.0,1.0,1.0,0.8,1.0
27207,1.0,0.9666666666666668,1.0,1.0,0.8,1.0
27208,1.0,0.75,1.0,1.0,0.8,1.0
27209,1.0,0.0,1.0,1.0,0.8,1.0
27212,1.0,0.0,1.0,1.0,0.8,1.0
27214,1.0,1.0,1.0,1.0,0.8,1.0
27215,1.0,1.0,1.0,1.0,0.8,1.0
27217,1.0,1.0,1.0,1.0,0.8,1.0
27229,1.0,0.0,1.0,1.0,0.8,1.0
27231,1.0,0.9833333333333332,1.0,1.0,0.8,1.0
