NAME,ESTAB,EMP,PAYANN,PAYQTR1,NAICS2017,zip,year
"ZIP 27014 (Cooleemee, NC)",14,549,10023,2406,0,27014,2018
"ZIP 27052 (Walnut Cove, NC)",134,1060,27911,6653,0,27052,2018
"ZIP 27022 (Lawsonville, NC)",17,257,8085,1901,0,27022,2018
"ZIP 27023 (Lewisville, NC)",213,3367,80045,19065,0,27023,2018
"ZIP 27030 (Mount Airy, NC)",900,19545,847594,200613,0,27030,2018
"ZIP 27043 (Pinnacle, NC)",55,194,4051,893,0,27043,2018
"ZIP 27212 (Blanch, NC)",21,96,2887,506,0,27212,2018
"ZIP 27214 (Browns Summit, NC)",123,2820,158609,37073,0,27214,2018
"ZIP 27242 (Eagle Springs, NC)",14,66,2337,545,0,27242,2018
"ZIP 27278 (Hillsborough, NC)",623,7203,283299,65044,0,27278,2018
"ZIP 27295 (Lexington, NC)",464,5425,191798,45688,0,27295,2018
"ZIP 27018 (East Bend, NC)",76,598,24642,5145,0,27018,2018
"ZIP 27028 (Mocksville, NC)",515,6494,225372,57197,0,27028,2018
"ZIP 27243 (Efland, NC)",56,236,7403,1660,0,27243,2018
"ZIP 27311 (Pelham, NC)",25,111,1936,526,0,27311,2018
"ZIP 27045 (Rural Hall, NC)",176,3445,150310,36046,0,27045,2018
"ZIP 27104 (Winston Salem, NC)",584,6642,227719,55345,0,27104,2018
"ZIP 27105 (Winston Salem, NC)",693,16101,782989,210975,0,27105,2018
"ZIP 27205 (Asheboro, NC)",345,4132,142112,31928,0,27205,2018
"ZIP 27244 (Elon, NC)",154,4807,167555,40363,0,27244,2018
"ZIP 27281 (Jackson Springs, NC)",20,113,3274,687,0,27281,2018
"ZIP 27312 (Pittsboro, NC)",475,3802,112934,26979,0,27312,2018
"ZIP 27007 (Ararat, NC)",18,56,1681,378,0,27007,2018
"ZIP 27009 (Belews Creek, NC)",45,353,26547,7336,0,27009,2018
"ZIP 27019 (Germanton, NC)",32,102,3708,682,0,27019,2018
"ZIP 27053 (Westfield, NC)",19,125,3407,701,0,27053,2018
"ZIP 27054 (Woodleaf, NC)",23,179,4694,1194,0,27054,2018
"ZIP 27282 (Jamestown, NC)",288,3338,129946,31079,0,27282,2018
"ZIP 27299 (Linwood, NC)",43,659,33042,8249,0,27299,2018
"ZIP 27020 (Hamptonville, NC)",65,1106,44741,12133,0,27020,2018
"ZIP 27055 (Yadkinville, NC)",318,4825,159500,39038,0,27055,2018
"ZIP 27215 (Burlington, NC)",1448,30113,1213709,290023,0,27215,2018
"ZIP 27263 (High Point, NC)",740,11676,463128,114884,0,27263,2018
"ZIP 27301 (Mc Leansville, NC)",123,3257,189192,41328,0,27301,2018
"ZIP 27011 (Boonville, NC)",61,492,13428,3215,0,27011,2018
"ZIP 27021 (King, NC)",340,3462,96936,24002,0,27021,2018
"ZIP 27106 (Winston Salem, NC)",859,11684,449782,114546,0,27106,2018
"ZIP 27012 (Clemmons, NC)",664,7591,256440,60891,0,27012,2018
"ZIP 27229 (Candor, NC)",53,787,26533,6415,0,27229,2018
"ZIP 27248 (Franklinville, NC)",44,529,18752,3962,0,27248,2018
"ZIP 27024 (Lowgap, NC)",20,59,1482,258,0,27024,2018
"ZIP 27046 (Sandy Ridge, NC)",22,65,1645,386,0,27046,2018
"ZIP 27048 (Stoneville, NC)",97,925,29823,6587,0,27048,2018
"ZIP 27231 (Cedar Grove, NC)",21,80,2517,469,0,27231,2018
"ZIP 27249 (Gibsonville, NC)",146,1025,28906,7389,0,27249,2018
"ZIP 27302 (Mebane, NC)",610,11848,529272,116522,0,27302,2018
"ZIP 27013 (Cleveland, NC)",95,3505,219423,45927,0,27013,2018
"ZIP 27025 (Madison, NC)",238,2909,86147,21589,0,27025,2018
"ZIP 27040 (Pfafftown, NC)",146,839,27458,6408,0,27040,2018
"ZIP 27217 (Burlington, NC)",489,5178,168576,37351,0,27217,2018
