NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,state,zcta,zip,year
ZCTA5 27006,73906,237700,858,4787,677,37,27006,27006,2016
ZCTA5 27007,43864,113000,628,740,116,37,27007,27007,2016
ZCTA5 27009,77188,162600,-666666666,878,79,37,27009,27009,2016
ZCTA5 27011,35802,121300,576,1761,499,37,27011,27011,2016
ZCTA5 27012,74798,206700,836,8362,1661,37,27012,27012,2016
ZCTA5 27013,47083,126200,681,1706,727,37,27013,27013,2016
ZCTA5 27014,34500,80700,838,184,88,37,27014,27014,2016
ZCTA5 27016,43775,109600,480,493,134,37,27016,27016,2016
ZCTA5 27017,34513,125300,580,2392,1095,37,27017,27017,2016
ZCTA5 27018,42951,141900,627,2419,650,37,27018,27018,2016
ZCTA5 27019,53833,116500,535,1332,282,37,27019,27019,2016
ZCTA5 27020,36402,125500,583,2082,568,37,27020,27020,2016
ZCTA5 27021,44907,128000,683,5639,1753,37,27021,27021,2016
ZCTA5 27022,40549,103300,526,524,99,37,27022,27022,2016
ZCTA5 27023,73356,201700,747,4391,701,37,27023,27023,2016
ZCTA5 27024,34649,132700,629,773,259,37,27024,27024,2016
ZCTA5 27025,47763,125400,555,3525,917,37,27025,27025,2016
ZCTA5 27027,31589,87100,552,1090,869,37,27027,27027,2016
ZCTA5 27028,44140,135400,651,7068,2697,37,27028,27028,2016
ZCTA5 27030,35441,111500,616,10739,4241,37,27030,27030,2016
ZCTA5 27040,63267,173400,1053,4028,474,37,27040,27040,2016
ZCTA5 27041,45896,143000,638,2379,718,37,27041,27041,2016
ZCTA5 27043,46690,135900,561,2233,622,37,27043,27043,2016
ZCTA5 27045,50663,130500,674,2647,938,37,27045,27045,2016
ZCTA5 27046,34858,84900,514,745,152,37,27046,27046,2016
ZCTA5 27048,44981,100600,601,2837,600,37,27048,27048,2016
ZCTA5 27050,50948,130700,724,1232,346,37,27050,27050,2016
ZCTA5 27051,43107,122500,763,2273,794,37,27051,27051,2016
ZCTA5 27052,37448,117000,625,3161,1094,37,27052,27052,2016
ZCTA5 27053,37064,132200,631,1024,197,37,27053,27053,2016
ZCTA5 27054,48917,90500,772,739,89,37,27054,27054,2016
ZCTA5 27055,39531,134300,637,4223,1300,37,27055,27055,2016
ZCTA5 27101,27400,128600,634,3161,5535,37,27101,27101,2016
ZCTA5 27103,45289,150400,755,8351,7615,37,27103,27103,2016
ZCTA5 27104,54354,242900,776,7646,5565,37,27104,27104,2016
ZCTA5 27105,30886,95300,673,7095,7482,37,27105,27105,2016
ZCTA5 27106,47013,181900,757,10510,8786,37,27106,27106,2016
ZCTA5 27107,40142,125300,737,11430,5495,37,27107,27107,2016
ZCTA5 27127,45431,129800,813,9908,5052,37,27127,27127,2016
ZCTA5 27203,32463,103800,599,4100,4620,37,27203,27203,2016
ZCTA5 27205,44490,119700,690,9932,2673,37,27205,27205,2016
ZCTA5 27207,49610,126400,720,1072,236,37,27207,27207,2016
ZCTA5 27208,37864,139900,860,600,90,37,27208,27208,2016
ZCTA5 27209,35952,73200,564,1103,377,37,27209,27209,2016
ZCTA5 27212,37708,100000,481,488,58,37,27212,27212,2016
ZCTA5 27214,54289,160300,795,3033,789,37,27214,27214,2016
ZCTA5 27215,44093,158700,783,10116,7351,37,27215,27215,2016
ZCTA5 27217,34989,107100,746,8443,5523,37,27217,27217,2016
ZCTA5 27229,31967,71800,600,727,480,37,27229,27229,2016
ZCTA5 27231,53750,177500,785,560,121,37,27231,27231,2016
