NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,zcta,zip,year
ZCTA5 27006,84985,252100,782,5632,544,27006,27006,2021
ZCTA5 27007,75324,151600,638,687,132,27007,27007,2021
ZCTA5 27009,77243,169300,1098,1135,56,27009,27009,2021
ZCTA5 27011,48175,131400,649,1705,568,27011,27011,2021
ZCTA5 27012,88209,248900,892,9163,2008,27012,27012,2021
ZCTA5 27013,49284,136300,682,1808,499,27013,27013,2021
ZCTA5 27014,61250,95700,875,195,106,27014,27014,2021
ZCTA5 27016,50250,120000,925,614,147,27016,27016,2021
ZCTA5 27017,63906,119200,651,2505,823,27017,27017,2021
ZCTA5 27018,56359,183400,695,2511,507,27018,27018,2021
ZCTA5 27019,63301,163100,676,1332,336,27019,27019,2021
ZCTA5 27020,50162,146100,668,1741,632,27020,27020,2021
ZCTA5 27021,55996,157100,817,5361,1882,27021,27021,2021
ZCTA5 27022,37102,116800,677,356,117,27022,27022,2021
ZCTA5 27023,85708,250500,955,4046,720,27023,27023,2021
ZCTA5 27024,54394,154700,767,935,150,27024,27024,2021
ZCTA5 27025,48033,116100,626,3548,809,27025,27025,2021
ZCTA5 27027,39071,95100,534,1154,718,27027,27027,2021
ZCTA5 27028,54573,159500,767,7541,2216,27028,27028,2021
ZCTA5 27030,42687,125400,641,10223,4561,27030,27030,2021
ZCTA5 27040,84097,198800,1159,4310,343,27040,27040,2021
ZCTA5 27041,54722,163800,670,2408,886,27041,27041,2021
ZCTA5 27043,66642,182600,710,2167,365,27043,27043,2021
ZCTA5 27045,61099,150600,873,3279,823,27045,27045,2021
ZCTA5 27046,47900,154100,503,915,233,27046,27046,2021
ZCTA5 27048,55527,127700,718,2686,541,27048,27048,2021
ZCTA5 27050,68412,147700,743,1457,152,27050,27050,2021
ZCTA5 27051,52405,152300,935,2090,931,27051,27051,2021
ZCTA5 27052,50368,147600,728,2971,1139,27052,27052,2021
ZCTA5 27053,51250,144100,674,1178,187,27053,27053,2021
ZCTA5 27054,78750,167400,-666666666,775,101,27054,27054,2021
ZCTA5 27055,56088,152400,657,4037,1186,27055,27055,2021
ZCTA5 27101,40961,161100,828,3049,6217,27101,27101,2021
ZCTA5 27103,53486,172400,950,8484,7591,27103,27103,2021
ZCTA5 27104,71319,268500,963,8150,5160,27104,27104,2021
ZCTA5 27105,33301,104400,768,7479,7421,27105,27105,2021
ZCTA5 27106,61158,211100,889,10512,8564,27106,27106,2021
ZCTA5 27107,48669,150900,784,12782,5656,27107,27107,2021
ZCTA5 27127,54750,142700,908,10141,6049,27127,27127,2021
ZCTA5 27203,40350,113400,723,3964,5061,27203,27203,2021
ZCTA5 27205,57600,146600,731,11033,2853,27205,27205,2021
ZCTA5 27207,59964,147000,575,1071,267,27207,27207,2021
ZCTA5 27208,52200,130500,-666666666,537,75,27208,27208,2021
ZCTA5 27209,42886,115200,596,842,544,27209,27209,2021
ZCTA5 27212,81108,200400,716,337,122,27212,27212,2021
ZCTA5 27214,66493,211700,944,3510,1532,27214,27214,2021
ZCTA5 27215,58054,185700,917,11679,7507,27215,27215,2021
ZCTA5 27217,45821,117900,792,8928,5203,27217,27217,2021
ZCTA5 27229,44299,103200,595,747,171,27229,27229,2021
ZCTA5 27231,68636,177100,1014,780,212,27231,27231,2021
