NAME,ESTAB,EMP,PAYANN,PAYQTR1,NAICS2017,zip,year
"ZIP 27501 (Angier, NC)",332,3382,134203,32327,0,27501,2020
"ZIP 27507 (Bullock, NC)",8,55,1853,400,0,27507,2020
"ZIP 27508 (Bunn, NC)",33,275,7578,1794,0,27508,2020
"ZIP 27526 (Fuquay Varina, NC)",1008,11098,419666,102329,0,27526,2020
"ZIP 27541 (Hurdle Mills, NC)",44,218,5931,1423,0,27541,2020
"ZIP 27560 (Morrisville, NC)",1449,54492,4936831,1284152,0,27560,2020
"ZIP 27597 (Zebulon, NC)",447,5027,243518,53047,0,27597,2020
"ZIP 27603 (Raleigh, NC)",1716,22641,1043068,258978,0,27603,2020
"ZIP 27410 (Greensboro, NC)",1394,26239,1216571,315827,0,27410,2020
"ZIP 27509 (Butner, NC)",58,4033,180868,44311,0,27509,2020
"ZIP 27516 (Chapel Hill, NC)",737,5000,192677,49475,0,27516,2020
"ZIP 27530 (Goldsboro, NC)",774,11501,464287,114108,0,27530,2020
"ZIP 27609 (Raleigh, NC)",2026,34877,2074180,541942,0,27609,2020
"ZIP 27503 (Bahama, NC)",76,247,10903,2444,0,27503,2020
"ZIP 27510 (Carrboro, NC)",411,3500,128366,32191,0,27510,2020
"ZIP 27529 (Garner, NC)",1414,21690,857077,214296,0,27529,2020
"ZIP 27539 (Apex, NC)",424,4407,198489,49116,0,27539,2020
"ZIP 27542 (Kenly, NC)",131,1749,53193,13646,0,27542,2020
"ZIP 27562 (New Hill, NC)",77,1093,111892,39914,0,27562,2020
"ZIP 27610 (Raleigh, NC)",915,20648,1132790,279597,0,27610,2020
"ZIP 27455 (Greensboro, NC)",496,5388,243380,60870,0,27455,2020
"ZIP 27517 (Chapel Hill, NC)",716,8177,485508,117382,0,27517,2020
"ZIP 27569 (Princeton, NC)",101,678,21125,5062,0,27569,2020
"ZIP 27591 (Wendell, NC)",377,2741,118434,27403,0,27591,2020
"ZIP 27504 (Benson, NC)",351,3661,148796,36115,0,27504,2020
"ZIP 27521 (Coats, NC)",84,688,20911,4594,0,27521,2020
"ZIP 27596 (Youngsville, NC)",384,4646,261940,67088,0,27596,2020
"ZIP 27546 (Lillington, NC)",290,3393,118661,29993,0,27546,2020
"ZIP 27563 (Norlina, NC)",48,313,9500,2269,0,27563,2020
"ZIP 27577 (Smithfield, NC)",778,11764,393564,96572,0,27577,2020
"ZIP 27613 (Raleigh, NC)",925,8832,362276,89356,0,27613,2020
"ZIP 27409 (Greensboro, NC)",1008,35382,2225885,591666,0,27409,2020
"ZIP 27518 (Cary, NC)",939,16939,1647352,402066,0,27518,2020
"ZIP 27522 (Creedmoor, NC)",284,3875,167584,47597,0,27522,2020
"ZIP 27524 (Four Oaks, NC)",172,1105,38859,9599,0,27524,2020
"ZIP 27544 (Kittrell, NC)",36,430,16085,3790,0,27544,2020
"ZIP 27545 (Knightdale, NC)",551,6823,255837,63032,0,27545,2020
"ZIP 27565 (Oxford, NC)",448,8065,311926,80893,0,27565,2020
"ZIP 27571 (Rolesville, NC)",167,1140,36224,8183,0,27571,2020
"ZIP 27608 (Raleigh, NC)",441,4179,203976,50240,0,27608,2020
"ZIP 27534 (Goldsboro, NC)",753,12864,446564,109026,0,27534,2020
"ZIP 27606 (Raleigh, NC)",926,14962,1043410,275220,0,27606,2020
"ZIP 27527 (Clayton, NC)",315,3483,197007,56528,0,27527,2020
"ZIP 27502 (Apex, NC)",1086,11586,485382,119011,0,27502,2020
"ZIP 27581 (Stem, NC)",29,85,3385,755,0,27581,2020
"ZIP 27604 (Raleigh, NC)",1368,22415,1182712,346546,0,27604,2020
"ZIP 27514 (Chapel Hill, NC)",952,26356,1354566,342490,0,27514,2020
"ZIP 27574 (Roxboro, NC)",116,1062,46606,12856,0,27574,2020
"ZIP 27583 (Timberlake, NC)",73,846,30156,8317,0,27583,2020
"ZIP 27612 (Raleigh, NC)",1546,28929,1575199,412454,0,27612,2020
