zip,month,year,zhvi,zori,MEDIAN_SALE_PRICE,MEDIAN_LIST_PRICE,MEDIAN_PPSF,MEDIAN_LIST_PPSF,HOMES_SOLD,PENDING_SALES,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,AVG_SALE_TO_LIST,SOLD_ABOVE_LIST,PRICE_DROPS,OFF_MARKET_IN_TWO_WEEKS,pmms30,pmms15,pmms51,pmms51spread,B19013_001E,B25077_001E,B25064_001E,owner_rate,ESTAB,EMP,PAYANN,PAYQTR1,avg_annual_pay_per_emp,N1,A00100,A00200,A00300,A00600,zori_to_zhvi_ratio,zhvi_mom_pct,zhvi_yoy_pct,zori_mom_pct,zori_yoy_pct,MEDIAN_SALE_PRICE_mom_pct,MEDIAN_SALE_PRICE_yoy_pct,INVENTORY_mom_pct,INVENTORY_yoy_pct,MONTHS_OF_SUPPLY_mom_pct,MONTHS_OF_SUPPLY_yoy_pct
27006,2000-01-31,2000,,,,,,,,,,,,,,,,,8.21,7.8025,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-02-29,2000,,,,,,,,,,,,,,,,,8.325,7.932499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-03-31,2000,,,,,,,,,,,,,,,,,8.24,7.831999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-04-30,2000,,,,,,,,,,,,,,,,,8.1525,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-05-31,2000,,,,,,,,,,,,,,,,,8.515,8.182500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-06-30,2000,,,,,,,,,,,,,,,,,8.288,7.992,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-07-31,2000,,,,,,,,,,,,,,,,,8.1475,7.865,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-08-31,2000,,,,,,,,,,,,,,,,,8.0275,7.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-09-30,2000,,,,,,,,,,,,,,,,,7.912000000000001,7.604000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-10-31,2000,,,,,,,,,,,,,,,,,7.795,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-11-30,2000,,,,,,,,,,,,,,,,,7.745,7.4175,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2000-12-31,2000,,,,,,,,,,,,,,,,,7.382,7.056,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-01-31,2001,,,,,,,,,,,,,,,,,7.0325,6.640000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-02-28,2001,,,,,,,,,,,,,,,,,7.05,6.640000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-03-31,2001,,,,,,,,,,,,,,,,,6.952,6.508,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-04-30,2001,,,,,,,,,,,,,,,,,7.0775,6.595,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-05-31,2001,,,,,,,,,,,,,,,,,7.145,6.675,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-06-30,2001,,,,,,,,,,,,,,,,,7.159999999999999,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-07-31,2001,,,,,,,,,,,,,,,,,7.1275,6.6825,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-08-31,2001,,,,,,,,,,,,,,,,,6.95,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-09-30,2001,,,,,,,,,,,,,,,,,6.8175,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-10-31,2001,,,,,,,,,,,,,,,,,6.6175,6.0975,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-11-30,2001,,,,,,,,,,,,,,,,,6.658,6.146,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2001-12-31,2001,,,,,,,,,,,,,,,,,7.065,6.5425,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-01-31,2002,,,,,,,,,,,,,,,,,6.9975,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-02-28,2002,,,,,,,,,,,,,,,,,6.8925,6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-03-31,2002,,,,,,,,,,,,,,,,,7.014,6.516,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-04-30,2002,,,,,,,,,,,,,,,,,6.985,6.475,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-05-31,2002,,,,,,,,,,,,,,,,,6.806,6.279999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-06-30,2002,,,,,,,,,,,,,,,,,6.65,6.105,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-07-31,2002,,,,,,,,,,,,,,,,,6.485,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-08-31,2002,,,,,,,,,,,,,,,,,6.29,5.702,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-09-30,2002,,,,,,,,,,,,,,,,,6.0925,5.5075,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-10-31,2002,,,,,,,,,,,,,,,,,6.1125,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-11-30,2002,,,,,,,,,,,,,,,,,6.068,5.464,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2002-12-31,2002,,,,,,,,,,,,,,,,,6.0475,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-01-31,2003,,,,,,,,,,,,,,,,,5.916,5.304,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-02-28,2003,,,,,,,,,,,,,,,,,5.8425,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-03-31,2003,,,,,,,,,,,,,,,,,5.745,5.065,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-04-30,2003,,,,,,,,,,,,,,,,,5.8125,5.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-05-31,2003,,,,,,,,,,,,,,,,,5.484,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-06-30,2003,,,,,,,,,,,,,,,,,5.23,4.6275,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-07-31,2003,,,,,,,,,,,,,,,,,5.6325,4.967499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-08-31,2003,,,,,,,,,,,,,,,,,6.264,5.588,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-09-30,2003,,,,,,,,,,,,,,,,,6.1475,5.4575,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-10-31,2003,,,,,,,,,,,,,,,,,5.952,5.273999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-11-30,2003,,,,,,,,,,,,,,,,,5.9325,5.2725,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2003-12-31,2003,,,,,,,,,,,,,,,,,5.876,5.204,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2004-01-31,2004,,,,,,,,,,,,,,,,,5.7125,5.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,2004-02-29,2004,,,,,,,,,,,,,,,,,5.635,4.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,
