feature,rf_importance,gb_importance,lr_importance,perm_importance,perm_std
home_value_mom_pct,0.0795941523841991,0.2540331690935516,0.0535226652178046,0.0460096886939772,0.002694679709226
home_value_accel,0.0442431349190865,0.0161031678096355,0.0748173235322877,0.0341770052327298,0.0013538839872916
home_value_vs_baseline_lag6,0.0149084546016122,0.0190555557971197,0.0263205729834775,0.0204588879895866,0.0006976757569554
home_value_mom_3m_avg,0.0425810758740918,0.0040917680140126,0.0063675401604219,0.0078921261338031,0.0012001480826894
inventory_mom_12m_avg,0.0205333431465957,0.0411809622089105,0.0097868714529101,0.0070700321457773,0.0003927030347394
avg_sale_to_list_ratio_lag6,0.0086188065480293,0.0049306278151255,0.0061279281183111,0.0063806525754662,0.0003511412266824
pct_sold_above_list_lag3,0.0083625849554424,0.0041772422632041,0.001217180546955,0.0046848633196514,0.0003937580685691
inventory_yoy_pct,0.0173517222192818,0.0299920284270696,0.0062137413014491,0.004592265637297,0.0003445687681141
median_price_per_sqft,0.021647201884844,0.0174510188772633,0.0024715517732656,0.0044294138202524,0.0005986426201909
pct_sold_above_list_lag6,0.0093694777633201,0.0096046166315518,0.008622258202436,0.0036314227143528,0.0001888648099623
home_value_index,0.0217543335918886,0.030455771047879,0.0197566591793303,0.0034789861573218,0.0010662082699364
home_value_mom_pct_lag6,0.011689845797661,0.0117357942870743,0.023928665980847,0.0025646815405233,0.000310908855735
median_owner_home_value,0.0171163568214403,0.0524407042175907,0.0085262645579722,0.0024068418718786,0.0005161047911293
inventory_vs_baseline,0.0131536687783759,0.0075238993177972,0.0148366290084665,0.0022494791783548,0.0003742251183154
home_value_vs_baseline_lag3,0.0098100632764173,0.0054822964194574,0.1176112229931584,0.0022197346970547,0.0002420779122606
price_to_income_ratio,0.012550142242932,0.0131452109501814,0.014734856196924,0.0022122067003744,0.0002126663009366
avg_sale_to_list_ratio_lag3,0.0088097425894708,0.0016758072372855,0.0023922027207295,0.001808636877824,0.0002282954933896
taxable_interest_income,0.0129274566558366,0.0106226353327347,0.0132503331092213,0.0017254144933347,0.0002551224258824
median_gross_rent,0.013766018823885,0.018260675873941,0.0134764957600794,0.0016761023031877,0.0004624989896418
median_sale_price,0.021279316808933,0.0191133282452761,0.00438534344388,0.0014989080006477,0.0005805736832207
tax_returns_filed,0.0114732043055891,0.0120073789545301,0.0320343967238219,0.0014358495439062,0.0002086107850392
home_value_vs_baseline,0.0293968760010854,0.0082973907872473,0.0576347950208396,0.001423225341735,0.0004730971727666
price_to_rent_ratio,0.0135088942395091,0.0093607960007124,0.0004066329052093,0.0013255900983718,0.0003300218293267
avg_pay_per_employee,0.0105289087654544,0.0101502280785188,0.0001578960035021,0.0012201551388947,0.0002890624062027
home_value_mom_12m_avg,0.0127499226778273,0.0017560512280142,0.0925443858236901,0.0010138614443573,0.0001640636016745
home_value_yoy_pct,0.0132500746088257,0.0005437926476125,0.0441800404584821,0.0009645355704978,0.000172977709615
median_list_price,0.0172231193178968,0.0082420788732028,0.0029369792101112,0.0008945942063786,0.0003179855537415
median_household_income,0.0163118517285836,0.0358464169654839,0.0057708450439682,0.0008330546417225,0.0005952811241871
dom_vs_baseline,0.0205178510293226,0.0207818588850255,0.0042129565570603,0.0006519702552059,0.0003915031526309
pct_above_list_3m_avg,0.0128058683165575,0.0036253701785503,0.0120328651595761,0.0006224368940412,0.0004287858499944
rent_to_income_ratio,0.0097083397642893,0.0050171016169395,0.0094492074358497,0.0006185077137433,0.0001759724912054
cluster,0.0059428123014186,0.0110158435584233,0.0059261310210967,0.0006114723307123,0.000460435877993
total_employment,0.0095211080800167,0.0055070864625317,0.0021001376973483,0.0006097814148129,0.000216046883853
homes_sold,0.014993087914477,0.0465113137023747,0.0817469312278919,0.0006023570233843,0.0007642500101317
sale_to_list_3m_avg,0.0127744951370255,0.0026961425224236,0.0056470330795849,0.0003489522615931,0.0004341763841749
business_establishments,0.0104402968753249,0.0036361451089222,0.0071264860982294,0.0003268784785463,0.0001593765256042
inventory_vs_baseline_lag3,0.0113044879533929,0.008468202088454,0.0009705209362524,0.0001977452838694,0.0002625866790604
owner_occupancy_rate,0.0110256163715682,0.0107034202978491,0.0017938081030299,0.0001166614681591,0.0002011970298283
sale_price_vs_baseline_lag6,0.0079860867955952,0.0021668814141766,0.0015311362902605,7.398196893297348e-05,0.0001742554556741
total_employment_yoy_pct,0.0098560022610128,0.0098487072510433,0.0003154510609858,5.5542188957707904e-05,0.0002217631800095
sale_price_vs_baseline,0.012454827687897,0.0092704735091814,0.0030515718566833,-0.0001614482591072,0.0004026198543154
inventory_vs_baseline_lag6,0.0100873127038295,0.0044141810884963,0.004476244546429,-0.000167369396979,0.0001987468514736
median_gross_rent_yoy_pct,0.0104104005545198,0.011784331463064,0.0032034338715771,-0.0001854201685567,0.0002265725184819
sale_price_mom_3m_std,0.0087275934406628,0.0024687873352109,0.0036823144357801,-0.0002000226445893,0.0002403381030996
inventory_mom_pct,0.0073345218389292,0.0046180617014254,0.0070443003799537,-0.0002192580347045,0.0002112898662263
home_value_mom_pct_lag3,0.0132411537146105,0.0080797107141077,0.0337209108530834,-0.0002220162801773,0.0002138828629097
sale_price_mom_3m_avg,0.0079990912947879,0.0013246795113901,0.0006916750429184,-0.0002510707114052,0.0001693078442631
pct_sold_above_list,0.0192731789120998,0.0246094770596719,0.0229591490187267,-0.000269526129909,0.0005117185096599
sale_price_vs_baseline_lag3,0.0094395115368797,0.0058181425128276,0.0007115080633136,-0.0003260691846939,0.0003614414256553
median_household_income_yoy_pct,0.0114048350590168,0.0165255717551551,0.0008032038653625,-0.0003273945499884,0.0001736896098845
