column,dtype,non_null_pct,n_unique
PERIOD_BEGIN,datetime64[us],1.0,167
PERIOD_END,datetime64[us],1.0,167
PERIOD_DURATION,int64,1.0,1
REGION_TYPE,str,1.0,1
REGION_TYPE_ID,int64,1.0,1
TABLE_ID,int64,1.0,853
IS_SEASONALLY_ADJUSTED,bool,1.0,1
REGION,str,1.0,853
STATE,str,1.0,2
STATE_CODE,str,1.0,2
PROPERTY_TYPE,str,1.0,5
MEDIAN_SALE_PRICE,float64,1.0,34498
PROPERTY_TYPE_ID,int64,1.0,5
HOMES_SOLD,float64,1.0,682
SOLD_ABOVE_LIST,float64,1.0,15197
PARENT_METRO_REGION,str,1.0,54
PARENT_METRO_REGION_METRO_CODE,int64,1.0,54
LAST_UPDATED,"datetime64[us, UTC]",1.0,1
zip,str,1.0,853
MEDIAN_DOM,float64,0.9975,1829
AVG_SALE_TO_LIST,float64,0.9963,258653
MEDIAN_PPSF,float64,0.9866,213745
OFF_MARKET_IN_TWO_WEEKS,float64,0.9794,17742
MEDIAN_SALE_PRICE_MOM,float64,0.9614,133318
HOMES_SOLD_MOM,float64,0.9614,14383
SOLD_ABOVE_LIST_MOM,float64,0.9614,95190
MEDIAN_DOM_MOM,float64,0.9588,2195
AVG_SALE_TO_LIST_MOM,float64,0.9575,260671
MEDIAN_PPSF_MOM,float64,0.948,245580
NEW_LISTINGS,float64,0.9444,739
MEDIAN_LIST_PRICE,float64,0.9441,33636
OFF_MARKET_IN_TWO_WEEKS_MOM,float64,0.9393,93584
INVENTORY,float64,0.9392,1002
MEDIAN_LIST_PPSF,float64,0.9355,221527
NEW_LISTINGS_MOM,float64,0.9035,18153
MEDIAN_LIST_PRICE_MOM,float64,0.9032,161576
INVENTORY_MOM,float64,0.9015,16596
MEDIAN_LIST_PPSF_MOM,float64,0.8948,248056
SOLD_ABOVE_LIST_YOY,float64,0.8803,106218
MEDIAN_SALE_PRICE_YOY,float64,0.8803,157560
HOMES_SOLD_YOY,float64,0.8803,21024
MEDIAN_DOM_YOY,float64,0.8779,3036
AVG_SALE_TO_LIST_YOY,float64,0.8763,266171
MEDIAN_PPSF_YOY,float64,0.8663,259110
OFF_MARKET_IN_TWO_WEEKS_YOY,float64,0.8621,99424
PENDING_SALES,float64,0.8502,709
NEW_LISTINGS_YOY,float64,0.8362,23236
MEDIAN_LIST_PRICE_YOY,float64,0.8359,184428
INVENTORY_YOY,float64,0.8343,28807
MEDIAN_LIST_PPSF_YOY,float64,0.8274,255223
