zip,cluster,cluster_name
27006,0,competitive_mid_market
27009,0,competitive_mid_market
27011,0,competitive_mid_market
27012,0,competitive_mid_market
27013,1,affordable_high_demand
27017,1,affordable_high_demand
27018,2,moderate_supply_growing
27020,2,moderate_supply_growing
27021,0,competitive_mid_market
27023,0,competitive_mid_market
27025,0,competitive_mid_market
27027,1,affordable_high_demand
27028,0,competitive_mid_market
27030,2,moderate_supply_growing
27040,0,competitive_mid_market
27041,2,moderate_supply_growing
27043,2,moderate_supply_growing
27045,0,competitive_mid_market
27048,3,low_activity_cooling
27050,0,competitive_mid_market
27051,0,competitive_mid_market
27052,2,moderate_supply_growing
27053,2,moderate_supply_growing
27054,2,moderate_supply_growing
27055,0,competitive_mid_market
27101,0,competitive_mid_market
27103,0,competitive_mid_market
27104,0,competitive_mid_market
27105,1,affordable_high_demand
27106,0,competitive_mid_market
27107,0,competitive_mid_market
27127,0,competitive_mid_market
27203,0,competitive_mid_market
27205,0,competitive_mid_market
27214,0,competitive_mid_market
27215,0,competitive_mid_market
27217,1,affordable_high_demand
27231,2,moderate_supply_growing
27233,0,competitive_mid_market
27235,0,competitive_mid_market
27239,0,competitive_mid_market
27243,2,moderate_supply_growing
27244,0,competitive_mid_market
27248,2,moderate_supply_growing
27249,0,competitive_mid_market
27253,0,competitive_mid_market
27258,0,competitive_mid_market
27260,0,competitive_mid_market
27262,0,competitive_mid_market
27263,0,competitive_mid_market
