zip,worst_col_missing_streak,any_missing_streak,worst_col,worst_col_streak
27013,60,60,PENDING_SALES,60
27014,60,60,N1,60
27054,60,60,PENDING_SALES,60
27915,60,60,N1,60
27920,60,60,N1,60
27936,60,60,N1,60
27941,60,60,B25064_001E,60
27943,60,60,N1,60
27947,60,60,B25064_001E,60
27968,60,60,zhvi,60
27972,60,60,B25064_001E,60
28009,60,60,N1,60
28012,60,60,PENDING_SALES,60
28016,60,60,PENDING_SALES,60
28021,60,60,PENDING_SALES,60
28023,60,60,PENDING_SALES,60
28025,60,60,PENDING_SALES,60
28027,60,60,PENDING_SALES,60
28031,60,60,PENDING_SALES,60
28032,60,60,PENDING_SALES,60
28033,60,60,PENDING_SALES,60
28034,60,60,PENDING_SALES,60
28036,60,60,PENDING_SALES,60
28037,60,60,PENDING_SALES,60
28052,60,60,PENDING_SALES,60
28054,60,60,PENDING_SALES,60
28056,60,60,PENDING_SALES,60
28071,60,60,PENDING_SALES,60
28075,60,60,PENDING_SALES,60
28078,60,60,PENDING_SALES,60
28079,60,60,PENDING_SALES,60
28080,60,60,PENDING_SALES,60
28081,60,60,PENDING_SALES,60
28083,60,60,PENDING_SALES,60
28088,60,60,PENDING_SALES,60
28092,60,60,PENDING_SALES,60
28098,60,60,PENDING_SALES,60
28101,60,60,PENDING_SALES,60
28103,60,60,PENDING_SALES,60
28104,60,60,PENDING_SALES,60
28105,60,60,PENDING_SALES,60
28107,60,60,PENDING_SALES,60
28110,60,60,PENDING_SALES,60
28112,60,60,PENDING_SALES,60
28115,60,60,PENDING_SALES,60
28117,60,60,PENDING_SALES,60
28119,60,60,PENDING_SALES,60
28120,60,60,PENDING_SALES,60
28124,60,60,PENDING_SALES,60
28125,60,60,PENDING_SALES,60
