Unnamed: 0,CORE_max_missing_streak,zhvi_max_missing_streak,zhvi_mom_pct_max_missing_streak,zhvi_yoy_pct_max_missing_streak,B19013_001E_max_missing_streak,B25077_001E_max_missing_streak,B25064_001E_max_missing_streak,owner_rate_max_missing_streak,ESTAB_max_missing_streak,EMP_max_missing_streak,PAYANN_max_missing_streak,PAYQTR1_max_missing_streak,pmms30_max_missing_streak
27968,60,60,60,60,24,24,60,0,0,0,0,0,0
27972,60,0,0,0,12,0,60,0,0,0,0,0,0
29351,60,60,60,60,0,0,0,0,0,0,0,0,0
29168,60,60,60,60,0,0,0,0,0,0,0,0,0
28745,60,0,0,0,0,0,60,0,0,0,0,0,0
28556,60,0,0,0,12,0,60,0,0,0,0,0,0
27941,60,0,0,0,0,0,60,0,0,0,0,0,0
28553,60,0,0,0,12,12,60,0,0,0,0,0,0
27947,60,0,0,0,0,0,60,0,0,0,0,0,0
29915,60,0,0,0,0,0,60,0,0,0,0,0,0
29596,60,49,50,60,0,0,24,0,0,0,0,0,0
29685,60,0,0,0,0,12,60,0,0,0,0,0,0
27915,48,0,0,0,0,0,48,0,0,0,0,0,0
29163,48,0,0,0,36,0,12,0,0,0,0,0,0
27814,48,0,0,0,0,0,48,0,0,0,0,0,0
27966,48,0,0,0,36,0,12,0,0,0,0,0,0
29635,48,0,0,0,0,0,48,0,0,0,0,0,0
27310,36,0,0,0,0,0,36,0,0,0,0,0,0
27919,36,0,0,0,36,0,24,0,0,0,0,0,0
29940,36,0,0,0,0,0,36,0,0,0,0,0,0
27054,36,0,0,0,0,0,36,0,0,0,0,0,0
27562,36,0,0,0,0,0,36,0,0,0,0,0,0
27929,36,0,0,0,0,0,36,0,0,0,0,0,0
28624,36,0,0,0,0,0,36,0,0,0,0,0,0
28511,36,0,0,0,0,0,36,0,0,0,0,0,0
29486,36,0,0,0,36,36,36,36,0,0,0,0,0
28372,25,13,14,25,0,0,0,0,0,0,0,0,0
28386,25,13,14,25,0,0,0,0,0,0,0,0,0
28685,25,13,14,25,0,0,0,0,0,0,0,0,0
28340,25,13,14,25,0,0,0,0,0,0,0,0,0
28383,25,13,14,25,0,0,0,0,0,0,0,0,0
28088,24,0,0,0,0,0,24,0,0,0,0,0,0
28167,24,0,0,0,0,0,24,0,0,0,0,0,0
28660,24,0,0,0,0,0,24,0,0,0,0,0,0
27916,24,0,0,0,0,0,24,0,0,0,0,0,0
27503,24,0,0,0,0,0,24,0,0,0,0,0,0
27923,24,0,0,1,0,0,24,0,0,0,0,0,0
27842,24,0,0,0,0,0,24,0,0,0,0,0,0
29676,24,0,0,0,0,0,24,0,0,0,0,0,0
27974,24,0,0,0,0,0,24,0,0,0,0,0,0
29704,24,0,0,0,0,0,24,0,0,0,0,0,0
28338,13,1,2,13,0,0,0,0,0,0,0,0,0
29653,13,1,2,13,0,0,0,0,0,0,0,0,0
27541,12,0,0,0,0,0,12,0,0,0,0,0,0
27936,12,0,0,0,0,0,12,0,0,0,0,0,0
28729,12,0,0,0,0,0,12,0,0,0,0,0,0
27343,12,0,0,0,0,12,12,0,0,0,0,0,0
28772,12,0,0,0,0,0,12,0,0,0,0,0,0
27571,12,0,0,0,0,0,12,0,0,0,0,0,0
27927,12,0,0,0,0,0,12,0,0,0,0,0,0
