date,pmms30,pmms30p,pmms15,pmms15p,pmms51,pmms51p,pmms51m,pmms51spread
4/2/1971,7.33, ,,,,,,
4/9/1971,7.31, ,,,,,,
4/16/1971,7.31, ,,,,,,
4/23/1971,7.31, ,,,,,,
4/30/1971,7.29, ,,,,,,
5/7/1971,7.38, ,,,,,,
5/14/1971,7.42, ,,,,,,
5/21/1971,7.44, ,,,,,,
5/28/1971,7.46,1,,,,,,
6/4/1971,7.52, ,,,,,,
6/11/1971,7.52, ,,,,,,
6/18/1971,7.54,1.2,,,,,,
6/25/1971,7.54, ,,,,,,
7/2/1971,7.54, ,,,,,,
7/9/1971,7.54, ,,,,,,
7/16/1971,7.6,1.2,,,,,,
7/23/1971,7.65, ,,,,,,
7/30/1971,7.69, ,,,,,,
8/6/1971,7.66, ,,,,,,
8/13/1971,7.73, ,,,,,,
8/20/1971,7.71,1.3,,,,,,
8/27/1971,7.69, ,,,,,,
9/3/1971,7.71, ,,,,,,
9/10/1971,7.67, ,,,,,,
9/17/1971,7.7,1.1,,,,,,
9/24/1971,7.67, ,,,,,,
10/1/1971,7.67, ,,,,,,
10/8/1971,7.63, ,,,,,,
10/15/1971,7.63, ,,,,,,
10/22/1971,7.58,1.1,,,,,,
10/29/1971,7.63, ,,,,,,
11/5/1971,7.59, ,,,,,,
11/12/1971,7.56, ,,,,,,
11/19/1971,7.54,1,,,,,,
11/26/1971,7.51, ,,,,,,
12/3/1971,7.49, ,,,,,,
12/10/1971,7.47, ,,,,,,
12/17/1971,7.48, ,,,,,,
12/24/1971,7.48, ,,,,,,
12/31/1971,7.48,1,,,,,,
1/7/1972,7.46,1,,,,,,
1/14/1972,7.46,0.9,,,,,,
1/21/1972,7.43,1,,,,,,
1/28/1972,7.4,0.9,,,,,,
2/4/1972,7.35,0.9,,,,,,
2/11/1972,7.33,0.9,,,,,,
2/18/1972,7.31,0.9,,,,,,
2/25/1972,7.31,0.9,,,,,,
3/3/1972,7.32,0.9,,,,,,
3/10/1972,7.32,1,,,,,,
