STATEFIPS,STATE,zipcode,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N85330,A85330,N85300,A85300,N11901,A11901,N11902,A11902
37,NC,27006,1,1930,1350,340,190,980,2250,480,21880,1930,22420,1340,14691,510,478,370,793,340,536,70,63,260,1815,310,271,210,1342,380,3189,50,90,392,160,323,60,-324,340,540,0,0,0,0,40,217,0,0,70,61,30,61,0,0,230,3837,3198,100,124,110,63,190,373,220,628,140,932,170,346,800,4543,760,469,0,0,190,59,20,1,0,0,50,30,70,12,40,13,0,0,230,291,1650,2798,450,927,390,800,200,236,70,50,670,409,870,721,0,0,0,0,220,140,1500,2178
37,NC,27006,2,1240,560,480,160,700,2310,590,45697,1240,46468,930,30050,480,567,280,1331,270,907,260,223,190,1624,240,319,230,2395,380,6497,0,90,451,380,2844,60,19,280,771,40,9,0,0,50,259,30,88,70,79,0,0,0,0,400,6667,15374,320,651,70,59,340,695,400,1473,260,1591,310,882,1190,22593,1160,2648,0,0,440,349,60,3,60,24,70,66,170,29,220,212,30,9,140,356,1190,4739,210,359,160,289,150,201,50,43,1010,2299,1060,2694,0,0,0,0,230,309,970,2267
37,NC,27006,3,890,240,560,70,550,2000,550,54968,890,55768,690,35770,470,549,290,1307,270,948,350,331,150,1479,230,426,210,2780,310,7232,40,60,320,300,4884,80,219,240,800,40,9,0,0,40,186,20,125,70,58,0,0,0,0,480,8913,30108,420,1361,60,61,450,887,480,2405,370,2583,420,1402,880,33744,870,4469,0,0,400,495,60,4,50,22,80,100,50,9,230,341,30,11,120,297,860,5405,0,0,0,0,40,44,60,55,830,3974,840,4332,0,0,0,0,260,505,590,1517
37,NC,27006,4,770,120,620,20,480,1950,560,66525,770,67190,620,42525,440,476,310,1378,290,996,400,405,150,1501,260,984,190,3688,310,8790,0,40,275,280,5880,90,851,240,666,40,12,0,0,40,130,30,146,60,63,0,0,0,0,530,10490,46136,480,2185,40,42,500,1030,530,3379,430,3304,490,1806,770,45450,760,6302,0,0,370,544,80,6,60,28,90,114,0,0,220,374,40,18,120,291,750,6976,0,0,0,0,0,0,70,66,750,5758,760,6113,0,0,0,0,260,594,480,1365
37,NC,27006,5,1220,100,1070,40,740,3400,1110,164364,1220,166450,1050,113181,840,1239,640,4489,610,3127,800,1167,240,3774,550,4155,290,8884,420,15204,30,40,201,340,8046,230,4800,440,2086,70,17,0,0,90,651,60,314,100,79,30,88,0,0,1080,28224,147438,1050,8276,30,54,1050,2754,1080,11423,920,8149,1000,5178,1220,121128,1210,20433,30,65,610,767,190,34,130,62,140,192,0,0,260,366,70,16,190,661,1210,21713,0,0,0,0,0,0,130,125,1210,19666,1210,20486,0,0,0,0,470,2159,690,3021
37,NC,27006,6,440,30,400,0,350,1230,390,205509,440,208428,390,123432,380,1926,310,8036,310,6043,200,485,110,4774,320,29807,90,3659,120,5698,0,0,0,110,2674,180,23601,180,2918,0,0,50,929,80,802,0,0,0,0,0,0,40,475,430,29034,201212,430,12807,0,0,430,2094,430,15203,340,4413,420,8494,440,173270,440,47059,260,1661,200,400,150,245,30,14,0,0,0,0,0,0,0,0,110,765,440,45299,0,0,0,0,0,0,0,0,440,46973,440,48883,200,504,260,1266,240,6601,150,2018
37,NC,27007,1,380,210,110,50,240,600,170,4823,380,4952,320,3855,60,61,20,8,20,7,0,0,60,456,20,20,0,0,40,325,0,50,185,0,0,0,0,60,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,912,150,95,0,0,40,12,0,0,0,0,30,23,0,0,0,0,0,0,50,79,330,721,130,302,110,265,70,94,20,14,130,83,170,163,0,0,0,0,30,41,310,604
37,NC,27007,2,220,80,120,40,150,480,150,8001,220,8136,200,6582,70,54,20,35,40,33,50,31,30,178,30,75,40,326,40,611,40,0,0,60,269,0,0,50,135,30,6,0,0,30,130,0,0,30,15,0,0,0,0,70,1062,2419,50,112,0,0,60,67,70,202,40,211,50,186,210,3722,210,431,0,0,90,69,0,0,20,7,0,0,70,14,60,48,20,7,30,67,220,915,50,110,50,94,50,79,0,0,170,362,180,433,0,0,0,0,30,48,190,526
37,NC,27007,3,160,30,130,0,120,430,150,9811,160,9947,150,8007,80,28,20,16,0,0,50,51,30,287,30,97,30,818,40,748,20,30,93,30,420,40,404,40,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1019,3638,60,179,0,0,60,74,60,273,50,354,50,181,160,5897,160,756,0,0,80,124,0,0,0,0,0,0,0,0,60,99,0,0,20,50,160,1015,0,0,0,0,0,0,0,0,150,632,160,694,0,0,0,0,40,124,130,365
37,NC,27007,4,90,0,80,0,70,270,100,7663,90,7748,80,6209,40,18,40,29,40,22,50,48,40,357,40,40,0,0,40,1214,20,0,0,20,512,0,0,30,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,948,4388,50,239,0,0,50,61,50,314,40,278,50,218,90,5183,90,708,0,0,60,98,0,0,20,9,20,32,0,0,50,84,0,0,20,89,90,851,0,0,0,0,0,0,20,20,90,610,90,695,0,0,0,0,0,0,70,212
37,NC,27007,5,60,0,60,0,50,170,50,8807,60,8855,60,6044,40,17,0,0,0,0,40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1254,7341,50,402,0,0,50,90,50,476,50,375,50,231,60,6341,60,1109,0,0,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1109,0,0,0,0,0,0,0,0,60,1059,60,1183,0,0,0,0,20,102,40,170
37,NC,27007,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NC,27009,1,440,300,80,60,210,570,150,5072,440,5384,310,3315,110,339,40,25,30,18,0,0,90,400,40,12,40,241,70,683,0,40,196,20,35,0,0,110,312,0,0,0,0,20,100,0,0,20,14,0,0,0,0,40,758,530,20,23,0,0,30,48,40,85,30,153,30,51,190,1024,190,121,0,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,60,82,400,764,150,313,130,264,70,82,0,0,170,108,230,196,0,0,0,0,50,42,360,609
37,NC,27009,2,300,140,90,60,160,570,180,11117,300,11271,260,8691,90,36,40,73,30,50,70,47,40,287,40,70,40,362,70,1132,30,20,101,60,437,0,0,70,154,0,0,0,0,0,0,30,90,0,0,0,0,0,0,90,1225,3455,80,155,40,28,70,104,90,280,70,366,70,192,290,5840,290,707,0,0,120,104,20,0,40,18,30,33,70,12,70,68,30,6,40,64,300,1250,60,106,40,83,50,72,30,30,250,603,260,680,0,0,0,0,30,50,270,626
37,NC,27009,3,220,70,140,30,120,530,170,13538,220,13652,200,11123,80,34,40,51,40,43,80,76,40,185,30,28,40,477,50,1115,0,30,161,40,575,40,328,60,114,30,7,0,0,0,0,0,0,30,25,0,0,0,0,120,1895,7548,110,389,0,0,120,174,120,594,110,727,90,228,220,8478,220,1153,0,0,100,139,0,0,0,0,0,0,0,0,70,105,0,0,20,39,220,1485,0,0,0,0,0,0,0,0,210,1014,210,1067,0,0,0,0,40,40,180,454
37,NC,27009,4,160,0,140,0,100,440,140,14245,160,14456,150,11649,90,26,40,107,40,57,90,104,30,408,30,99,0,0,40,871,0,0,0,30,543,0,0,50,212,0,0,0,0,20,155,0,0,0,0,0,0,0,0,100,1916,9022,100,519,0,0,100,171,100,717,90,708,90,242,160,9865,160,1368,0,0,90,139,0,0,20,10,30,37,0,0,60,102,0,0,20,95,160,1586,0,0,0,0,0,0,30,21,160,1230,160,1342,0,0,0,0,40,134,120,369
37,NC,27009,5,170,20,150,0,90,470,140,22559,170,22802,160,18397,100,35,70,301,90,277,130,150,40,498,80,733,30,610,50,1449,0,0,0,40,766,30,2523,60,243,0,0,0,0,0,0,0,0,20,23,0,0,0,0,150,3429,19280,140,1118,0,0,140,360,150,1533,130,979,130,705,170,16981,170,2885,20,63,90,164,30,3,30,13,0,0,0,0,40,60,0,0,30,74,170,3055,0,0,0,0,0,0,0,0,170,2781,170,2872,0,0,0,0,80,664,120,463
37,NC,27009,6,40,0,30,0,30,90,30,13154,40,13402,40,7824,30,40,20,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1557,12215,40,766,0,0,30,194,40,987,30,365,40,259,40,11300,40,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2497,0,0,0,0,0,0,0,0,40,2704,40,2813,0,0,0,0,0,0,0,0
37,NC,27011,1,1020,590,210,190,620,1620,560,12698,1020,13098,750,9033,210,440,80,124,70,93,0,0,170,1274,100,133,90,523,140,1087,30,60,260,40,70,30,109,210,400,20,5,0,0,0,0,0,0,0,0,0,0,0,0,60,887,856,20,20,20,10,40,70,50,113,30,146,40,98,400,2366,390,249,0,0,110,33,0,0,20,11,0,0,50,9,30,10,0,0,160,208,920,2057,370,908,320,777,250,294,30,23,330,216,480,427,0,0,0,0,80,54,860,1696
37,NC,27011,2,610,210,270,120,390,1270,380,21775,610,22015,540,17437,160,141,70,153,60,125,100,67,90,513,70,161,70,645,120,1792,30,40,137,150,901,0,0,120,240,0,0,0,0,50,268,30,105,40,28,0,0,0,0,120,1745,4374,100,201,40,32,100,150,120,390,80,430,90,334,590,10341,580,1200,0,0,280,201,0,0,0,0,50,39,130,28,150,131,0,0,70,143,600,2440,160,307,130,247,120,139,20,16,480,999,500,1163,0,0,0,0,70,108,530,1360
37,NC,27011,3,340,50,260,30,240,850,260,20748,340,20915,310,15959,140,116,60,165,60,117,80,75,50,115,60,343,60,603,90,1940,30,40,238,90,1409,20,322,90,167,40,9,0,0,0,0,0,0,40,31,0,0,0,0,110,1944,7090,110,352,0,0,100,164,110,545,90,566,100,377,340,12866,340,1652,0,0,170,230,30,1,20,13,30,45,40,6,110,159,50,12,40,71,340,2008,0,0,0,0,0,0,30,25,330,1422,330,1513,0,0,0,0,90,168,250,657
37,NC,27011,4,200,30,180,0,140,530,160,17438,200,17612,180,12402,110,71,60,106,50,73,110,115,40,480,40,159,40,630,70,2234,50,0,0,60,1217,0,0,60,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2308,10285,110,535,0,0,110,203,120,778,100,621,110,519,200,12006,200,1673,0,0,100,139,0,0,20,9,20,24,0,0,70,108,0,0,30,84,200,1952,0,0,0,0,0,0,40,31,200,1534,200,1637,0,0,0,0,50,161,150,467
