STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
37,NC,27006,1,1950,1400,330,190,1000,2230,460,80,50,30,22113,1950,22725,1340,14745,470,436,370,703,340,479,80,63,290,1751,280,246,220,1421,400,3526,30,50,230,130,270,60,-66,370,612,0,0,0,0,60,250,0,0,60,59,20,57,0,0,200,3406,2741,80,93,100,53,150,346,200,527,110,802,150,330,840,4595,800,473,0,0,30,11,180,46,30,1,0,0,50,21,70,11,30,11,0,0,260,346,90,388,90,400,80,7,1640,2824,450,926,360,779,190,237,60,51,50,13,720,427,960,801,0,0,0,0,240,178,1500,2180
37,NC,27006,2,1170,540,430,150,630,2140,540,60,40,20,43035,1170,43662,880,28703,450,429,280,1127,270,806,210,146,160,1255,220,667,230,2241,370,6039,20,40,128,370,2749,60,41,240,627,40,9,0,0,40,194,30,106,70,78,0,0,0,0,320,5508,12608,240,539,70,61,280,577,320,1248,200,1168,270,787,1130,21673,1110,2546,0,0,40,23,410,309,50,2,50,18,60,54,160,29,200,193,30,11,120,272,70,311,60,244,70,12,1120,4394,200,353,150,278,140,174,40,30,20,17,970,2238,1020,2565,0,0,0,0,230,285,890,2066
37,NC,27006,3,900,240,560,70,540,1990,530,0,0,0,55786,900,56617,700,36336,450,454,300,1572,280,1073,310,254,150,1243,250,720,200,3140,320,7102,30,40,132,300,5019,90,666,250,831,40,9,0,0,50,228,30,176,70,64,0,0,0,0,420,7812,26257,360,973,60,61,390,811,420,1921,310,2138,370,1355,890,34696,890,4624,0,0,30,75,390,490,80,8,50,21,70,91,80,14,220,342,20,14,120,291,0,0,40,168,40,19,880,5686,0,0,0,0,40,38,60,51,0,0,850,4134,860,4489,0,0,0,0,270,500,590,1617
37,NC,27006,4,740,120,590,30,460,1830,500,0,0,0,64070,740,64795,580,40616,420,497,290,1637,270,1158,340,321,140,1573,250,1124,200,3894,290,8014,0,0,0,270,5667,80,771,230,725,40,11,30,302,20,113,30,189,80,86,0,0,0,0,430,9093,37820,390,1552,40,45,420,839,430,2548,350,2643,390,1775,740,43988,730,6102,0,0,0,0,340,494,90,7,50,24,80,105,0,0,200,320,30,6,100,321,0,0,0,0,0,0,730,6795,0,0,0,0,0,0,70,62,0,0,720,5607,730,5981,0,0,0,0,250,671,470,1417
37,NC,27006,5,1250,110,1100,40,760,3460,1110,0,0,0,170291,1250,172485,1060,114973,830,924,630,4905,610,3681,790,1004,250,4607,540,5154,310,9355,450,16409,30,20,87,360,8852,210,4690,460,2194,80,20,0,0,90,667,60,384,100,83,40,89,0,0,1070,26958,147837,1020,6881,40,73,1040,2747,1070,10060,910,7930,1000,5332,1250,127381,1240,21499,40,96,0,0,630,771,210,34,120,61,150,217,0,0,270,372,60,17,190,719,0,0,0,0,0,0,1240,22232,0,0,0,0,0,0,150,137,0,0,1240,20729,1240,21656,0,0,0,0,520,2339,660,2551
37,NC,27006,6,520,50,460,0,400,1430,450,0,0,0,206315,520,209399,450,128372,430,1522,380,10084,370,7747,240,677,120,5574,370,18448,130,6194,160,5832,0,0,0,130,3499,200,24620,200,3084,0,0,30,683,80,733,0,0,0,0,0,0,40,659,510,27996,203870,500,11648,0,0,500,2327,510,14255,390,4894,490,8323,520,174534,520,45996,290,1493,0,0,240,425,190,256,30,16,0,0,0,0,0,0,0,0,120,909,0,0,0,0,0,0,520,43413,0,0,0,0,0,0,0,0,0,0,520,45334,520,47657,250,489,310,805,270,7237,170,1691
37,NC,27007,1,320,170,100,50,190,540,170,30,30,0,4245,320,4308,270,3469,50,8,0,0,0,0,0,0,50,274,20,5,0,0,50,358,30,20,52,0,0,0,0,50,63,0,0,0,0,20,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,694,140,78,0,0,0,0,30,14,0,0,0,0,20,17,0,0,0,0,0,0,40,50,30,146,40,184,30,3,280,669,110,282,100,245,70,88,0,0,0,0,120,64,160,118,0,0,0,0,30,15,270,566
37,NC,27007,2,220,80,120,40,140,490,150,0,0,0,8218,220,8327,200,6870,60,34,40,34,40,34,40,32,40,193,30,95,50,476,40,617,0,0,0,60,291,20,56,60,109,20,5,0,0,0,0,0,0,0,0,0,0,0,0,50,879,1872,40,75,0,0,40,65,50,157,30,162,40,152,210,3867,210,455,0,0,0,0,100,78,0,0,30,11,0,0,60,11,70,55,0,0,40,57,0,0,0,0,30,6,220,924,60,123,50,105,50,67,30,28,0,0,170,377,190,444,0,0,0,0,30,50,190,524
37,NC,27007,3,160,30,130,0,120,440,150,0,0,0,10199,160,10380,150,8203,70,42,30,37,30,32,50,46,30,254,20,58,0,0,60,1396,20,0,0,40,484,0,0,50,181,0,0,0,0,0,0,0,0,40,40,0,0,0,0,40,772,2689,40,111,0,0,40,48,40,168,30,217,30,150,160,6249,160,817,0,0,0,0,90,131,0,0,0,0,20,30,20,3,70,107,0,0,20,60,0,0,0,0,0,0,160,1086,0,0,0,0,0,0,0,0,0,0,160,686,160,784,0,0,0,0,30,73,140,365
37,NC,27007,4,80,0,70,0,60,230,70,0,0,0,6892,80,6932,70,5535,40,8,20,28,20,34,40,35,30,403,30,166,30,705,0,0,20,0,0,30,678,20,337,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,636,3280,40,149,0,0,40,45,40,201,30,189,30,160,80,4846,80,671,0,0,0,0,40,65,0,0,20,12,0,0,0,0,40,56,0,0,30,92,0,0,0,0,0,0,80,753,0,0,0,0,0,0,0,0,0,0,80,607,80,646,0,0,0,0,20,69,60,175
