STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N20950,A20950,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
37,NC,27006,1,1900,1410,280,170,1640,130,880,1030,2000,380,30,0,30,0,180,530,21339,1900,21854,1300,13793,420,281,320,723,300,531,60,24,280,2089,280,259,240,1683,370,3074,50,0,0,170,418,30,138,310,515,0,0,0,0,50,200,0,0,50,56,0,0,0,0,180,3255,2705,150,1449,70,104,100,58,140,281,100,27,180,482,100,608,0,0,0,0,0,0,20,22,130,302,60,163,0,0,770,4428,750,468,0,0,60,23,190,59,30,0,0,0,50,25,80,12,40,16,0,0,240,330,160,1301,170,1342,40,22,1600,2667,390,832,320,676,180,209,60,46,90,54,660,409,860,770,0,0,0,0,230,194,1470,2087,1460,2078,0,0
37,NC,27006,2,1220,580,420,160,1080,60,670,750,2200,570,20,0,20,0,160,410,44898,1220,45594,940,31219,430,362,260,1095,240,787,120,51,170,1616,230,610,220,2298,330,5372,0,30,77,360,2689,70,484,270,696,40,9,0,0,50,195,40,130,90,93,30,60,0,0,330,5852,12746,190,1849,260,517,60,56,280,606,240,60,330,1249,190,1146,0,0,0,0,20,31,0,0,270,901,100,648,0,0,1160,22432,1140,2712,0,0,80,71,420,302,60,3,50,24,60,47,200,41,200,187,20,9,120,324,140,1114,140,1113,50,28,1170,4775,210,393,160,290,140,182,40,34,60,73,1000,2409,1040,2775,0,0,0,0,230,330,960,2316,940,2222,50,99
37,NC,27006,3,930,320,510,70,840,50,540,480,1960,520,0,0,0,0,90,360,57533,930,58522,700,36700,430,394,280,1314,270,969,200,123,160,1771,260,1019,230,3933,300,6656,20,20,68,320,5472,70,798,280,989,30,6,20,314,50,265,50,233,80,101,0,0,0,0,410,7716,25829,160,1820,360,972,50,53,370,847,310,85,410,1979,310,1964,0,0,30,25,30,27,0,0,340,1325,100,514,0,0,920,36204,910,4943,0,0,40,89,380,412,100,5,40,17,50,56,80,14,200,314,0,0,140,409,50,509,50,489,30,23,900,6062,0,0,0,0,40,62,40,27,0,0,880,4531,900,4993,0,0,0,0,290,658,630,1716,600,1649,40,67
37,NC,27006,4,760,130,580,40,700,40,450,390,1890,550,0,0,0,0,50,330,66440,760,67292,580,42034,410,661,290,1513,270,1100,230,140,150,2338,240,1819,210,3942,290,7607,0,0,0,270,6062,90,777,250,852,40,12,0,0,30,266,0,0,100,101,0,0,0,0,460,9638,40471,160,1565,430,1637,30,38,440,1142,370,115,460,2960,370,2577,0,0,30,14,60,67,0,0,420,1712,110,713,0,0,760,45340,760,6392,0,0,20,127,360,562,100,11,70,37,70,89,0,0,220,393,0,0,110,410,0,0,30,258,30,45,750,7238,0,0,0,0,0,0,50,47,0,0,750,5830,750,6300,0,0,0,0,250,672,510,1609,480,1497,50,112
37,NC,27006,5,1430,120,1260,50,1310,80,850,630,3820,1130,0,0,0,0,80,600,198242,1430,200568,1210,132612,910,990,670,6066,640,4566,620,469,290,4537,610,6589,380,10438,550,20300,30,20,62,460,11708,220,5206,510,2326,90,22,0,0,80,712,60,376,130,153,0,0,40,820,1170,28982,164393,180,1861,1140,7601,40,69,1130,3264,980,383,1170,11334,990,7958,50,160,80,40,0,0,40,44,1080,5825,250,1780,30,115,1430,150292,1430,25225,30,75,0,0,680,715,260,44,140,78,150,215,0,0,250,297,50,16,230,831,0,0,0,0,0,0,1410,26096,0,0,0,0,0,0,140,135,0,0,1420,24510,1430,25501,0,0,0,0,620,2819,810,3394,750,3031,90,364
37,NC,27006,6,660,50,600,0,610,40,500,180,1880,620,0,0,0,0,0,240,325759,660,329613,580,165790,530,2459,470,10801,460,8612,310,656,170,7205,460,30519,170,7121,180,9194,0,0,0,150,4261,250,41273,260,3854,0,0,40,704,90,957,0,0,0,0,0,0,0,0,640,40912,317744,30,595,630,16819,0,0,620,2920,520,271,640,20052,500,5550,0,0,70,16,0,0,60,177,610,16901,130,1649,0,0,660,279141,660,70513,350,1997,0,0,300,299,240,164,50,26,0,0,0,0,0,0,0,0,180,1017,0,0,0,0,0,0,660,60629,0,0,0,0,0,0,0,0,0,0,660,70214,660,73202,300,604,390,1153,350,9812,310,4353,240,2415,100,1938
37,NC,27007,1,350,200,100,50,320,40,210,200,560,170,0,0,0,0,50,90,4677,350,4733,270,3651,60,10,30,8,40,19,0,0,60,514,40,67,30,208,50,372,0,20,45,0,0,0,0,70,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,864,140,96,0,0,30,25,30,11,0,0,0,0,0,0,0,0,0,0,0,0,60,80,30,269,30,308,0,0,300,751,110,327,100,269,70,89,0,0,20,10,120,84,170,169,0,0,0,0,30,29,290,607,290,606,0,0
37,NC,27007,2,200,80,100,40,180,0,120,140,430,130,0,0,0,0,30,50,7380,200,7529,180,5978,50,40,20,21,0,0,0,0,40,342,0,0,40,470,40,672,50,0,0,70,343,0,0,40,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,709,1580,0,0,40,60,0,0,50,65,30,5,50,134,40,162,0,0,0,0,0,0,0,0,30,130,0,0,0,0,190,3434,190,417,0,0,0,0,90,62,0,0,20,10,30,23,80,17,50,42,0,0,30,61,30,268,30,292,30,22,200,897,50,120,40,101,50,62,0,0,0,0,150,355,160,427,0,0,0,0,30,38,170,508,170,507,0,0
37,NC,27007,3,150,40,120,0,140,20,110,100,380,120,0,0,0,0,30,50,9299,150,9389,130,7337,70,36,40,66,40,56,40,20,30,168,30,219,0,0,50,917,0,0,0,50,817,0,0,40,90,0,0,0,0,0,0,0,0,40,30,0,0,0,0,50,886,3050,30,182,40,131,0,0,40,63,30,8,50,205,40,197,0,0,0,0,0,0,0,0,40,212,40,261,0,0,150,5661,150,731,0,0,0,0,60,103,0,0,0,0,0,0,0,0,50,79,0,0,20,41,0,0,0,0,0,0,150,944,0,0,0,0,0,0,40,31,0,0,150,629,150,677,0,0,0,0,50,141,120,324,120,321,0,0
37,NC,27007,4,100,0,90,0,90,0,70,70,280,90,0,0,0,0,0,0,8563,100,8658,90,7461,40,11,0,0,0,0,30,17,40,637,0,0,30,598,0,0,20,0,0,0,0,40,584,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,767,3648,0,0,40,153,0,0,40,48,30,8,40,211,30,189,0,0,0,0,0,0,0,0,40,240,0,0,0,0,100,5943,100,825,0,0,0,0,50,86,0,0,20,9,30,24,0,0,40,64,0,0,30,120,0,0,0,0,0,0,100,953,0,0,0,0,0,0,0,0,0,0,100,739,100,800,0,0,0,0,0,0,80,229,80,229,0,0
