STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
1,AL,0,1,768120,466830,90960,198750,696930,37470,399160,559820,1180240,439980,24700,16610,8100,5300,193550,146430,10119915,768120,10261015,611200,8093820,90050,58326,38280,64851,34310,42808,7120,3777,139800,722620,31400,41473,113700,1189581,7000,15830,43516,38750,77300,6930,15664,131500,141100,990,241,0,0,6190,23263,1090,3502,15210,13308,757310,10764175,757310,10566472,106960,197747,9240,191667,164035,6690,96737,2010,2905,4000,3837,3640,4983,2960,821,7060,13887,8500,17163,3230,22987,0,0,80,20,80,178,5740,21717,130,3878,18950,12328,300940,1549172,302810,160711,0,0,13280,5130,138350,48039,1480,60,7130,2561,25030,11849,35440,6290,72640,25206,470,442,109110,151679,49840,445567,52070,457574,8020,4656,705730,1956009,335090,1029252,309520,925357,206770,327356,46740,42649,19410,12495,192210,112117,298790,272245,0,0,0,0,59030,50007,669420,1732176,666750,1725286,2730,4220
1,AL,0,2,503430,225110,130060,134320,457510,23180,266880,371440,977450,348420,12230,8350,3880,350,124380,112920,18156451,503430,18322144,432240,14986384,91220,69033,37860,90397,34020,62140,35400,20927,68680,265689,30540,82058,110070,2117606,8690,12010,32992,92360,636314,10010,83850,91880,165693,11300,2751,90,1191,6320,30840,5980,20613,41070,41880,481320,8110725,481320,7967317,74380,144817,22700,489546,884834,15530,194895,14390,27454,7460,10161,13050,15803,12800,4937,18700,49692,22160,62294,11920,78556,0,0,40,39,190,798,19140,114790,1040,11427,40560,60939,498580,9420159,495880,1030009,0,0,17000,14634,252860,306377,6300,367,30100,18147,41720,44021,89680,18397,183090,219327,5260,7424,39300,92618,28510,243637,29770,258173,16630,11567,490520,1960001,143650,316107,129100,280354,128110,252063,28980,25862,6210,6244,351410,725087,376800,834109,0,0,0,0,77300,111047,424280,1230668,420960,1220934,4110,9399
1,AL,0,3,274590,95560,131770,41020,248630,13210,157800,179490,587740,182370,3110,1590,1520,0,45970,80580,16867358,274590,17015570,233850,12992584,84410,71942,38560,126299,34850,88256,49180,34350,43620,275245,32070,131901,82600,2245803,8180,4940,16035,66490,1034877,11000,119054,68510,148212,9060,2306,70,1070,4790,31591,5090,22261,30360,33978,248770,4768913,248770,4671399,50090,97531,27230,636984,1761773,12820,167194,20220,56235,6000,10144,21200,27053,17950,6762,24010,89496,27110,104561,19340,135427,50,213,410,190,200,349,23820,177435,1700,18758,33270,85730,273950,11355943,273410,1374432,0,0,4770,12669,127700,284052,9550,841,17330,9633,21970,26987,21450,3436,102150,231971,3210,7166,27890,73743,4730,43137,7240,64380,4060,4340,270000,1599388,530,209,190,77,25960,43983,15140,13663,170,228,245890,1091252,253380,1178827,0,0,0,0,68920,148870,205830,562490,201770,550675,5790,15182
1,AL,0,4,174830,35560,123370,12700,159190,6830,102340,110320,429360,131170,990,510,480,0,21650,56280,15167919,174830,15290801,149100,11296908,71280,70086,33940,135204,31030,96344,44170,36452,29770,253146,28280,167654,62150,2161441,5170,2900,10047,46960,980163,8480,142045,48120,122882,7140,1938,110,1661,2450,19275,2470,12835,20230,23521,153350,3346618,153340,3274574,35450,72480,20000,514268,1808740,6910,97603,15700,60309,2900,5950,16380,24974,12910,4818,17570,84485,19810,97041,14880,117948,110,789,60,44,100,296,17960,160016,440,6962,25270,81720,174660,11151360,174370,1412000,0,0,1200,6414,83340,234812,7860,843,14600,8500,15900,19885,0,0,71880,196884,940,2941,20370,59861,250,2151,1610,14360,910,1566,172760,1521941,0,0,0,0,2080,3373,10900,9731,0,0,170050,1176057,171510,1250551,0,0,0,0,47730,136776,126560,403410,122610,388967,3730,13784
1,AL,0,5,245150,25990,207950,6480,224280,10500,145010,123560,665630,213100,770,730,40,0,14670,80560,33353413,245150,33654113,214430,24346118,135520,185862,76710,454917,71470,344554,105380,116905,48760,728019,66780,729824,97010,4569064,9140,1860,6749,60400,1504281,25810,788165,80060,300700,12480,3362,1190,18632,7340,69651,5000,28559,26750,30840,190970,4443681,190940,4349490,43530,91961,54670,1705974,8234057,8870,138364,48560,292798,4560,11596,49960,99863,40160,16048,51110,364853,54720,391501,45390,450001,370,2044,2380,1119,1430,5404,51040,610385,2130,38369,51670,294574,245050,26861846,244860,4043973,60,482,300,2192,134730,386690,23780,5601,23670,13839,23540,30246,0,0,112700,315868,130,355,33970,140181,0,0,380,3194,230,531,242910,3980479,0,0,0,0,20,46,18710,17235,0,0,243830,3655165,244190,3827935,550,161,50,58,98980,446992,145780,598498,137120,521691,9850,65917
1,AL,0,6,70170,4300,62340,520,64700,2290,51310,17120,199070,66360,30,30,0,0,430,25530,31813002,70170,32218098,60410,15164531,55370,416842,41800,1160420,39900,925635,38020,156222,18190,1078352,40180,3666495,27070,2008854,1420,50,150,14940,432542,26330,5916818,25690,405096,900,228,2980,90899,8490,112727,610,5802,0,0,28190,670581,28180,651635,7370,15879,39500,2490925,21414100,780,23272,37560,714402,950,3120,37580,164434,28810,16004,38350,366712,39520,396746,31180,457721,280,2914,2270,822,4620,65083,37780,1296364,1940,48340,30490,944315,70140,27432698,70080,6398795,570,9904,0,0,42540,201040,18590,59750,4230,2366,0,0,0,0,23840,67236,0,0,17330,152422,0,0,0,0,0,0,69250,6519658,0,0,0,0,0,0,0,0,0,0,70000,6173104,70100,6574411,27380,47864,36310,140412,36580,841080,30930,797390,20970,293454,10310,451281
1,AL,35004,1,1460,950,190,290,1290,90,630,1030,2040,650,50,30,20,0,290,360,18893,1460,19181,1090,14319,220,180,80,152,70,83,0,0,250,1195,60,24,280,2824,0,20,65,100,195,0,0,240,288,0,0,0,0,30,124,0,0,40,29,1430,20070,1430,19568,270,501,30,586,433,20,384,0,0,0,0,0,0,0,0,20,20,20,26,0,0,0,0,0,0,0,0,0,0,0,0,40,23,580,3149,580,327,0,0,30,10,210,68,0,0,20,6,40,20,70,12,100,30,0,0,180,274,110,1047,110,1075,0,0,1320,3122,510,1445,460,1284,300,480,60,50,40,34,420,258,580,566,0,0,0,0,130,118,1230,2685,1220,2645,0,0
1,AL,35004,2,1330,650,320,300,1220,60,600,1010,2460,830,0,0,0,0,330,260,49466,1330,49983,1150,41212,240,193,80,207,70,170,160,87,160,1112,60,129,260,5011,0,40,127,230,1570,40,343,290,517,30,6,0,0,0,0,20,71,150,154,1270,20787,1270,20427,190,360,60,1301,2502,40,509,50,95,50,74,50,47,50,12,60,156,60,177,50,298,0,0,0,0,0,0,70,344,0,0,100,170,1320,27016,1310,2968,0,0,40,29,630,845,0,0,100,60,90,104,240,43,440,615,20,34,110,268,80,789,80,857,60,33,1300,5113,340,645,300,558,320,572,60,56,30,26,950,2123,1030,2432,0,0,0,0,190,275,1130,2948,1130,2942,30,33
1,AL,35004,3,990,370,430,150,920,40,460,720,2070,650,0,0,0,0,190,220,60672,990,61077,900,51134,240,109,110,262,100,200,220,128,140,557,80,205,210,5184,0,0,0,170,2679,30,518,260,405,30,7,0,0,20,145,30,107,150,175,920,17173,920,16914,140,260,70,1374,4166,30,291,60,171,0,0,60,45,50,15,60,227,70,252,60,334,0,0,0,0,0,0,60,430,0,0,110,244,990,41744,990,5087,0,0,30,41,460,1050,50,3,70,39,80,90,90,13,380,880,0,0,80,149,30,192,40,273,20,21,980,5953,0,0,0,0,110,205,40,36,0,0,880,4037,910,4229,0,0,0,0,210,322,780,2035,770,2020,0,0
1,AL,35004,4,610,110,440,50,560,20,290,430,1580,530,0,0,0,0,110,130,52969,610,53266,570,45224,200,112,110,308,90,190,170,138,80,502,80,475,140,3734,0,20,75,120,2261,20,230,180,297,20,6,0,0,0,0,0,0,100,118,540,11849,540,11683,90,166,70,1630,5701,20,361,60,225,0,0,60,42,50,16,60,258,70,291,60,392,0,0,0,0,0,0,60,504,0,0,70,159,610,39168,610,4937,0,0,0,0,330,994,0,0,80,52,50,65,0,0,300,835,0,0,60,120,0,0,0,0,0,0,600,5160,0,0,0,0,0,0,30,28,0,0,590,3944,600,4105,0,0,0,0,140,319,470,1368,460,1352,0,0
