STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
1,AL,0,1,778210,491030,84770,189600,712890,30670,384470,581180,1161150,18240,13370,4870,4080,192100,144610,10158838,778140,10311099.0,620600,8200593,93540,68317,37480,65753,33300,42751,1720,946,143610,722112,31360,33331,35890,235880,92450,901040,6660,14480,42564,40150,84012,6100,18118,135690,152261,1090,255,0,0,6250,21480,820,2733,15270,13996,769030,11066587,769020,10865714,106970,201097,7240,150873,132579,5430,78372,1690,2661,3370,3572,2610,3711,2090,516,6320,12513,6610,13409,2310,17641,0,0,40,11,60,86,4350,17842,70,616,22060,13735,300640,1552000,302720,160415,0,0,12070,4971,134080,45587,1330,57,5890,2076,22600,11110,36290,6464,70110,23975,580,368,110990,154932,45770,397658,47700,408319,710230,1922724,336190,1008528,308280,904717,196540,314315,44820,40934,17950,11658,197600,114340,304700,273340,0,0,0,0,62720,51936,671860,1700965,669570,1694792,1980,3512
1,AL,0,2,525940,247140,123910,139860,481760,18960,267290,394400,992420,9790,7390,2400,410,133500,113810,18974967,525940,19145621.0,455080,15850756,93880,85088,36910,89999,32770,61055,7600,4987,70540,262605,29970,69745,35490,359872,96670,1728496,8220,11250,32728,91930,656943,9150,66263,93950,170654,10750,2589,70,747,5650,26635,5810,20783,41270,42821,506740,8603871,506760,8456983,75670,148494,19940,446524,789861,13440,175276,11650,22962,6620,8917,11370,14457,10520,4045,17770,48028,19220,56071,10580,74615,30,228,150,71,70,166,16670,104470,940,10639,44210,63971,520700,9872820,518350,1077535,0,0,16320,14045,261340,311014,6540,377,29690,17784,39440,42387,95330,19739,187130,223550,8660,8411,39640,94831,28140,231542,29090,244646,510970,2029781,148370,339202,134660,304557,130800,257702,28170,25204,5920,5934,371060,767582,394750,875430,0,0,0,0,85860,122569,438020,1274802,435210,1266557,3670,7410
1,AL,0,3,285700,105140,128140,44560,260570,10670,157840,191280,595680,2050,1250,800,0,49260,82410,17535801,285700,17690402.0,243910,13637123,87540,92568,38230,127351,34620,88608,13370,10995,44060,278438,32400,126428,31340,428754,73400,1853438,7840,5070,17124,67190,1070844,10920,114428,71780,154601,10370,2611,60,584,4780,31741,5220,22667,32480,38536,261630,5038262,261630,4935793,52260,102780,25750,609119,1674539,11140,147795,19130,54996,5500,9733,19530,25226,16800,6336,24240,90895,25700,100880,18110,134453,40,316,150,52,140,214,21930,166873,1410,15809,36950,82266,285130,11839199,284600,1425405,0,0,4710,11709,131170,288956,10000,841,16800,9521,21030,26624,22390,3655,103640,235293,7240,9726,28680,76352,4710,41371,7330,63432,280730,1650422,1530,736,780,372,26600,45889,15000,13525,80,124,256550,1137455,263710,1226277,0,0,0,0,73980,154932,212040,575315,208470,564202,5020,13653
1,AL,0,4,179070,38820,123110,13740,164300,5020,102810,114000,432180,500,260,240,0,22900,57970,15546951,179070,15670456.0,152230,11584056,74030,89906,33320,138559,30220,97921,10490,10393,30650,260178,27750,142078,24910,447315,54850,1751828,4910,2420,8481,48150,1030569,8020,130206,48940,123505,6840,1834,100,1433,2330,17746,2180,11621,21350,24628,158280,3496792,158290,3421873,36670,75236,19220,500103,1724525,6380,92054,14880,56947,2760,5602,15660,24640,12530,4705,18470,89860,19010,94615,14450,120605,100,552,140,55,50,145,16750,151237,770,11606,28990,84348,178880,11417855,178620,1446533,0,0,1040,4668,85230,236339,8100,888,13760,8072,15020,19029,0,0,72390,198453,3040,4145,20110,60569,290,2317,1400,11711,176930,1549121,0,0,0,0,2270,3795,10060,8963,0,0,174090,1209092,175670,1286100,0,0,0,0,51330,139065,126850,401581,123310,388749,3040,10377
1,AL,0,5,257010,28180,216740,7150,236850,8400,149420,134040,692450,420,420,0,0,16120,85030,34974856,257010,35286228.0,224330,25607154,143920,239051,78150,482082,72160,359323,32480,41044,50970,753477,67990,664829,44310,1210176,86060,3621488,9470,1710,6259,64100,1661904,25660,821507,86330,311372,13720,3712,1200,20158,7210,66483,5010,30855,29230,35104,203850,4830219,203790,4725919,47880,101829,53360,1694297,8042866,8660,138147,47710,292110,4580,11938,48840,99551,39260,15338,52320,376076,53370,385647,44450,457333,310,1960,2330,1521,1050,4173,49230,598734,2150,41461,60940,299558,256910,28154883,256680,4197397,0,0,360,2536,141340,404893,24430,6566,24870,14872,21680,29178,0,0,117970,334331,3700,3630,35680,147912,0,0,410,3302,254640,4119219,0,0,0,0,40,104,18140,16648,0,0,255630,3790910,256080,3975986,640,239,90,141,104290,460071,152790,598248,144640,539385,9180,56257
1,AL,0,6,74810,4540,66580,530,69330,1760,54190,19260,211830,0,0,0,0,480,27410,33623657,74810,34025927.0,64800,16333857,59770,525378,44180,1218658,41990,960266,10790,22078,19330,1097760,42460,3844735,14990,738412,21130,1299174,1520,60,181,16070,487117,26810,5867960,26690,402270,1030,259,2970,93212,8430,111015,550,5327,0,0,31790,769439,31780,748242,8300,17954,40850,2508562,21925814,760,22835,38860,784550,850,3081,38700,168206,29540,15989,40550,389007,40870,394649,32340,489817,240,2803,2300,1138,4530,60031,38880,1304067,1730,47116,36780,965541,74740,29037682,74720,6722984,380,4636,0,0,44450,196170,19420,56958,4660,2680,0,0,0,0,25740,73532,470,205,18070,161130,0,0,0,0,73850,6624749,0,0,0,0,0,0,0,0,0,0,74650,6501275,74720,6916983,29900,50464,39430,141243,40030,946610,32060,681565,22420,257633,9450,372747
1,AL,35004,1,1450,990,180,250,1320,60,630,1050,1900,30,30,0,0,280,360,18091,1450,18384.0,1110,13932,220,170,80,125,70,90,0,0,220,1121,60,32,110,718,220,1967,0,20,104,110,205,0,0,220,293,0,0,0,0,0,0,0,0,30,30,1440,20219,1440,19677,290,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,510,2825,520,293,0,0,30,10,170,58,0,0,0,0,30,14,60,12,70,24,0,0,170,255,90,941,100,950,1310,2790,480,1252,420,1096,260,401,50,39,30,20,400,235,560,506,0,0,0,0,120,100,1230,2383,1220,2365,0,0
1,AL,35004,2,1370,700,280,340,1260,50,590,1070,2440,0,0,0,0,320,280,51278,1370,51708.0,1190,43332,240,209,100,148,80,99,30,15,150,741,70,132,100,894,220,4074,0,30,105,240,1651,30,330,280,430,30,6,0,0,30,110,30,109,150,175,1310,21610,1310,21224,190,386,80,1621,2697,50,611,50,79,40,68,40,49,50,17,70,188,80,188,50,328,0,0,0,0,0,0,60,366,0,0,100,146,1360,28151,1360,3099,0,0,50,35,610,834,0,0,120,68,80,88,230,43,450,601,40,59,90,181,70,663,70,697,1340,5207,340,673,290,595,300,543,60,49,20,20,1030,2265,1090,2470,0,0,0,0,220,261,1150,2995,1140,2984,0,0
1,AL,35004,3,970,410,370,160,900,50,430,690,1910,0,0,0,0,200,220,59398,970,59818.0,870,49853,250,199,110,408,100,310,50,35,120,481,90,363,100,1258,170,4020,0,0,0,170,2742,20,198,260,420,30,8,0,0,0,0,0,0,140,168,890,16393,890,16120,140,273,80,1727,5034,30,478,70,218,0,0,70,52,60,13,80,284,80,294,60,429,0,0,0,0,0,0,70,448,0,0,110,205,970,41136,970,5005,0,0,40,103,430,922,60,3,70,37,70,84,80,12,330,749,0,0,80,157,30,266,50,404,950,5696,0,0,0,0,70,134,40,34,0,0,890,4083,910,4287,0,0,0,0,240,410,730,1814,720,1799,40,46
1,AL,35004,4,650,130,460,60,610,0,310,450,1670,0,0,0,0,100,150,56706,650,57089.0,610,48129,220,179,90,207,80,129,50,56,100,1005,70,269,70,1013,130,3505,0,20,58,120,2387,20,317,200,383,30,7,0,0,20,257,30,98,120,145,590,13002,590,12810,100,192,70,1537,5683,20,233,60,254,0,0,60,59,40,18,60,306,60,313,60,413,0,0,0,0,0,0,60,496,0,0,100,276,650,41864,650,5308,0,0,0,0,340,1056,0,0,90,57,60,75,0,0,310,915,20,10,70,190,0,0,0,0,650,5785,0,0,0,0,20,34,40,35,0,0,640,4252,640,4505,0,0,0,0,170,391,480,1666,470,1468,0,0
