STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,VRTCRIND,N2,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00400,A00400,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N25870,A25870,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59661,A59661,N59662,A59662,N59663,A59663,N59664,A59664,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
1,AL,0,1,659530.0,422590.0,71000.0,154700.0,610780.0,24340.0,349120.0,485710.0,4120.0,986260.0,13970.0,8960.0,5010.0,2120.0,169080.0,140130.0,8735771.0,659510.0,8871904.0,489450.0,6827320.0,87290.0,42624.0,3890.0,0.0,37560.0,72882.0,33450.0,47338.0,990.0,667.0,160230.0,715445.0,33630.0,25999.0,33440.0,234520.0,84190.0,834456.0,6230.0,9300.0,35062.0,44480.0,101187.0,6110.0,10089.0,11250.0,12573.0,132580.0,136133.0,1500.0,408.0,20.0,166.0,4900.0,16135.0,950.0,3152.0,3350.0,3632.0,651850.0,10071305.0,651840.0,9855698.0,107940.0,215663.0,5930.0,133436.0,105322.0,4650.0,75085.0,1520.0,3033.0,2220.0,2364.0,1940.0,3616.0,1850.0,534.0,5450.0,12878.0,5500.0,13345.0,1540.0,11661.0,0.0,0.0,0.0,0.0,80.0,130.0,3030.0,14230.0,80.0,775.0,26720.0,18917.0,241810.0,1186819.0,248330.0,122445.0,0.0,0.0,15480.0,4236.0,106690.0,34306.0,1380.0,51.0,4040.0,1304.0,20040.0,9615.0,27140.0,4949.0,50660.0,16118.0,960.0,564.0,119820.0,176454.0,60270.0,541129.0,63020.0,560177.0,581010.0,1773589.0,283760.0,877525.0,93140.0,34989.0,100900.0,336809.0,59870.0,323426.0,28020.0,172311.0,256380.0,768519.0,164000.0,280805.0,38400.0,35164.0,12940.0,8942.0,162900.0,87598.0,273430.0,267825.0,0.0,0.0,0.0,0.0,63060.0,54280.0,543620.0,1559881.0,541480.0,1552563.0,2250.0,5031.0
1,AL,0,2,533640.0,276250.0,101050.0,141040.0,499310.0,15050.0,272820.0,392210.0,4660.0,951830.0,10240.0,7190.0,3050.0,130.0,142020.0,116140.0,19414110.0,533640.0,19554113.0,455350.0,16224681.0,86760.0,50743.0,4720.0,0.0,36580.0,94902.0,33260.0,63837.0,4290.0,3030.0,81750.0,275267.0,32620.0,66098.0,33220.0,369374.0,94090.0,1695659.0,7270.0,8490.0,27290.0,90790.0,720013.0,8640.0,47598.0,12110.0,7456.0,71530.0,140003.0,7260.0,2000.0,20.0,143.0,5360.0,24028.0,5590.0,19835.0,11060.0,11837.0,515910.0,9008735.0,515910.0,8843776.0,79910.0,165991.0,18390.0,468842.0,735224.0,12420.0,167041.0,8160.0,18800.0,5770.0,8019.0,7380.0,11561.0,6850.0,2803.0,14760.0,41152.0,14910.0,47671.0,6420.0,45824.0,0.0,0.0,0.0,0.0,80.0,390.0,15150.0,135079.0,2070.0,42225.0,48270.0,76912.0,524110.0,9916782.0,521730.0,1080915.0,0.0,0.0,27480.0,18593.0,255800.0,296717.0,7210.0,428.0,27450.0,17295.0,38020.0,41356.0,97830.0,20803.0,173580.0,204461.0,12590.0,13964.0,44110.0,115682.0,46690.0,395694.0,47740.0,413574.0,517820.0,2122967.0,150110.0,377795.0,0.0,0.0,71750.0,119936.0,53000.0,161252.0,25000.0,92987.0,135300.0,335818.0,128170.0,266347.0,26640.0,23619.0,9930.0,9760.0,379380.0,784918.0,403720.0,911762.0,0.0,0.0,0.0,0.0,100320.0,130848.0,430380.0,1339883.0,427830.0,1329439.0,2780.0,8556.0
1,AL,0,3,304870.0,134050.0,109980.0,51600.0,286110.0,9600.0,167940.0,198060.0,4130.0,588600.0,2770.0,1570.0,1200.0,0.0,56830.0,87460.0,18735575.0,304870.0,18863555.0,257110.0,14580757.0,81820.0,55574.0,5630.0,0.0,39620.0,131776.0,36050.0,91544.0,8180.0,6942.0,48320.0,330574.0,35310.0,117516.0,30000.0,458649.0,75340.0,1935893.0,7180.0,3380.0,10578.0,69050.0,1189750.0,10070.0,105958.0,13350.0,9461.0,56590.0,127980.0,11790.0,3339.0,50.0,632.0,4120.0,24531.0,5150.0,22416.0,10220.0,10343.0,286610.0,5523783.0,286600.0,5401858.0,58710.0,122757.0,19130.0,495347.0,1275196.0,9690.0,150216.0,14390.0,45102.0,4350.0,7550.0,14150.0,22410.0,11730.0,5089.0,19220.0,76349.0,19300.0,82968.0,12740.0,92936.0,20.0,127.0,110.0,139.0,100.0,260.0,16850.0,145315.0,960.0,16064.0,38440.0,98724.0,304250.0,12661672.0,303530.0,1516214.0,0.0,0.0,11350.0,19638.0,132040.0,284293.0,10580.0,835.0,14700.0,8851.0,19850.0,24963.0,24620.0,4116.0,99780.0,223101.0,12160.0,21011.0,30410.0,91311.0,14640.0,125694.0,15290.0,144376.0,298650.0,1739549.0,4420.0,3228.0,0.0,0.0,0.0,0.0,320.0,167.0,1360.0,1144.0,2960.0,2122.0,28810.0,55869.0,12680.0,11344.0,1450.0,2012.0,274440.0,1233280.0,281700.0,1334809.0,0.0,0.0,0.0,0.0,88750.0,186002.0,216080.0,585162.0,212990.0,573080.0,4520.0,12589.0
1,AL,0,4,193020.0,56350.0,113100.0,19090.0,181390.0,4530.0,111130.0,114350.0,1900.0,429920.0,700.0,190.0,510.0,0.0,27080.0,63010.0,16734715.0,193020.0,16841536.0,161340.0,12416608.0,69410.0,61091.0,4170.0,0.0,34690.0,148187.0,31660.0,105067.0,7070.0,7077.0,32850.0,309559.0,30790.0,144047.0,24370.0,482938.0,57590.0,1866218.0,4480.0,1220.0,4355.0,50940.0,1173011.0,7120.0,112644.0,9770.0,14253.0,38850.0,106821.0,5650.0,1664.0,120.0,1831.0,2290.0,16114.0,1890.0,10186.0,5220.0,4594.0,175460.0,3888554.0,175450.0,3796285.0,42210.0,92077.0,16220.0,437983.0,1478575.0,5360.0,83333.0,12340.0,50771.0,2120.0,4613.0,12200.0,22491.0,9520.0,4030.0,15720.0,79595.0,15850.0,85352.0,11020.0,84935.0,20.0,242.0,190.0,123.0,80.0,208.0,13350.0,133847.0,590.0,10896.0,30260.0,91690.0,192830.0,12282526.0,192510.0,1589663.0,0.0,0.0,4590.0,12773.0,84370.0,230062.0,8440.0,757.0,10530.0,6478.0,11810.0,14011.0,0.0,0.0,68610.0,188131.0,5980.0,12584.0,21340.0,73396.0,5350.0,43235.0,6070.0,56627.0,190020.0,1665961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,10574.0,6850.0,5859.0,310.0,623.0,187040.0,1358115.0,188870.0,1447901.0,0.0,0.0,0.0,0.0,67040.0,189833.0,124860.0,403052.0,121760.0,388581.0,2840.0,12190.0
1,AL,0,5,315700.0,45000.0,252660.0,12180.0,297930.0,9000.0,185750.0,159180.0,5170.0,817170.0,600.0,470.0,130.0,0.0,25250.0,105480.0,43412373.0,315700.0,43715783.0,271630.0,31832034.0,156700.0,184649.0,15730.0,0.0,90990.0,548873.0,84810.0,409921.0,24640.0,31793.0,63780.0,981757.0,84700.0,854015.0,50770.0,1576915.0,105710.0,4492652.0,11670.0,1510.0,5493.0,78910.0,2263598.0,27340.0,845556.0,26290.0,110066.0,82810.0,303410.0,17040.0,5311.0,1190.0,22937.0,8020.0,74547.0,5640.0,35535.0,11290.0,9972.0,267840.0,6602487.0,267810.0,6455496.0,63920.0,145784.0,48910.0,1604872.0,7501803.0,9050.0,163613.0,43250.0,282212.0,4360.0,11137.0,42340.0,94879.0,33030.0,15011.0,48640.0,352388.0,48850.0,358485.0,38050.0,346148.0,150.0,1251.0,1450.0,1144.0,670.0,2300.0,43790.0,606131.0,2600.0,73641.0,72950.0,362636.0,315530.0,34882260.0,315280.0,5162979.0,20.0,293.0,3830.0,17405.0,166190.0,478468.0,28750.0,5568.0,26320.0,16577.0,25110.0,31329.0,0.0,0.0,135180.0,387565.0,9400.0,16828.0,44570.0,199001.0,2480.0,18583.0,4370.0,40889.0,312100.0,5024189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,3633.0,15970.0,14190.0,0.0,0.0,313770.0,4684501.0,314330.0,4917664.0,1370.0,446.0,140.0,63.0,138270.0,657283.0,177730.0,748507.0,169080.0,671684.0,10940.0,80141.0
1,AL,0,6,109460.0,7950.0,96190.0,940.0,103540.0,2220.0,77410.0,30670.0,2150.0,305190.0,50.0,50.0,0.0,0.0,1450.0,39440.0,51801083.0,109460.0,52307999.0,93830.0,24206959.0,80450.0,509176.0,14790.0,0.0,60720.0,1624111.0,57990.0,1280994.0,9000.0,16003.0,27950.0,1614380.0,60820.0,6256040.0,20870.0,1315382.0,31300.0,2014945.0,2780.0,50.0,178.0,23280.0,788986.0,35130.0,10177662.0,16150.0,340303.0,36490.0,506916.0,1880.0,540.0,3410.0,112969.0,9780.0,137452.0,890.0,8418.0,0.0,0.0,61510.0,1569740.0,61500.0,1530812.0,15330.0,35237.0,45250.0,2909590.0,28808403.0,1170.0,36785.0,42560.0,979403.0,1330.0,4578.0,41730.0,205246.0,30430.0,19847.0,45240.0,432354.0,45280.0,436199.0,34890.0,464998.0,390.0,4423.0,1710.0,1045.0,4430.0,58296.0,42420.0,1579956.0,2080.0,69826.0,50670.0,1569746.0,109420.0,45349400.0,109360.0,10622599.0,440.0,6529.0,320.0,2597.0,62280.0,413682.0,26150.0,233064.0,6840.0,4160.0,0.0,0.0,0.0,0.0,37060.0,106188.0,1540.0,1295.0,24510.0,231687.0,0.0,0.0,330.0,3083.0,107890.0,10261000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,99.0,0.0,0.0,0.0,0.0,109260.0,10066566.0,109360.0,10681188.0,45570.0,78073.0,54750.0,223885.0,59810.0,1634928.0,46530.0,1184029.0,33970.0,456283.0,13170.0,649409.0
1,AL,35004,1,1260.0,880.0,150.0,210.0,1170.0,50.0,570.0,900.0,20.0,1670.0,20.0,0.0,20.0,0.0,270.0,360.0,15888.0,1260.0,16189.0,880.0,11292.0,220.0,93.0,0.0,0.0,100.0,183.0,90.0,90.0,0.0,0.0,250.0,1473.0,80.0,20.0,120.0,793.0,210.0,1815.0,0.0,30.0,127.0,130.0,308.0,30.0,286.0,30.0,123.0,240.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,18873.0,1250.0,18268.0,300.0,605.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,20.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,29.0,450.0,2404.0,480.0,248.0,0.0,0.0,50.0,7.0,170.0,51.0,0.0,0.0,0.0,0.0,40.0,17.0,70.0,13.0,60.0,18.0,0.0,0.0,200.0,286.0,110.0,905.0,110.0,895.0,1070.0,2438.0,380.0,1056.0,140.0,46.0,130.0,418.0,70.0,359.0,40.0,232.0,330.0,901.0,210.0,356.0,60.0,52.0,40.0,26.0,360.0,195.0,530.0,494.0,0.0,0.0,0.0,0.0,130.0,129.0,990.0,2071.0,990.0,2055.0,0.0,0.0
1,AL,35004,2,1320.0,770.0,230.0,280.0,1230.0,40.0,600.0,950.0,0.0,2170.0,0.0,0.0,0.0,0.0,320.0,320.0,49413.0,1320.0,49811.0,1120.0,40897.0,240.0,140.0,30.0,0.0,100.0,124.0,80.0,83.0,0.0,0.0,170.0,671.0,70.0,88.0,90.0,996.0,230.0,4170.0,0.0,0.0,0.0,240.0,2052.0,0.0,0.0,0.0,0.0,180.0,398.0,30.0,7.0,0.0,0.0,50.0,178.0,40.0,103.0,40.0,39.0,1270.0,21590.0,1270.0,21117.0,230.0,472.0,60.0,1462.0,2069.0,50.0,566.0,0.0,0.0,30.0,44.0,30.0,36.0,0.0,0.0,50.0,117.0,50.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,472.0,0.0,0.0,100.0,153.0,1300.0,26550.0,1300.0,2939.0,0.0,0.0,80.0,55.0,540.0,677.0,0.0,0.0,70.0,40.0,80.0,87.0,250.0,53.0,350.0,455.0,30.0,42.0,100.0,245.0,110.0,742.0,110.0,803.0,1290.0,5498.0,300.0,700.0,0.0,0.0,120.0,195.0,130.0,362.0,50.0,143.0,270.0,614.0,260.0,491.0,50.0,48.0,30.0,26.0,1010.0,2262.0,1070.0,2527.0,0.0,0.0,0.0,0.0,270.0,289.0,1040.0,3257.0,1040.0,3240.0,30.0,32.0
1,AL,35004,3,1000.0,480.0,320.0,160.0,960.0,30.0,470.0,680.0,20.0,1820.0,0.0,0.0,0.0,0.0,180.0,250.0,61695.0,1000.0,62141.0,880.0,50864.0,240.0,108.0,0.0,0.0,110.0,325.0,100.0,217.0,50.0,37.0,140.0,970.0,100.0,216.0,70.0,1243.0,190.0,4890.0,0.0,20.0,86.0,170.0,2917.0,20.0,447.0,50.0,-131.0,190.0,446.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,58.0,940.0,17538.0,940.0,17200.0,160.0,338.0,60.0,1240.0,3687.0,30.0,330.0,50.0,154.0,0.0,0.0,40.0,61.0,40.0,18.0,60.0,256.0,60.0,259.0,50.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,401.0,0.0,0.0,110.0,269.0,1000.0,42630.0,1000.0,5176.0,0.0,0.0,40.0,58.0,400.0,877.0,40.0,2.0,50.0,31.0,60.0,81.0,80.0,13.0,300.0,663.0,40.0,124.0,90.0,305.0,40.0,301.0,50.0,352.0,980.0,5773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,148.0,40.0,35.0,0.0,0.0,920.0,4299.0,950.0,4645.0,0.0,0.0,0.0,0.0,280.0,614.0,720.0,1733.0,720.0,1719.0,0.0,0.0
1,AL,35004,4,620.0,200.0,330.0,70.0,590.0,0.0,290.0,370.0,0.0,1340.0,0.0,0.0,0.0,0.0,90.0,140.0,53252.0,620.0,53526.0,560.0,43998.0,200.0,131.0,0.0,0.0,90.0,209.0,70.0,141.0,30.0,33.0,100.0,988.0,70.0,324.0,60.0,1167.0,140.0,3665.0,0.0,0.0,0.0,110.0,2340.0,30.0,480.0,0.0,0.0,150.0,274.0,30.0,7.0,0.0,0.0,0.0,0.0,30.0,95.0,30.0,23.0,560.0,11928.0,560.0,11741.0,90.0,187.0,60.0,1272.0,5051.0,0.0,0.0,50.0,202.0,0.0,0.0,50.0,67.0,40.0,13.0,60.0,286.0,60.0,288.0,50.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,488.0,0.0,0.0,100.0,290.0,620.0,39745.0,620.0,5293.0,0.0,0.0,40.0,100.0,270.0,792.0,20.0,2.0,50.0,32.0,40.0,45.0,0.0,0.0,230.0,655.0,0.0,0.0,80.0,204.0,30.0,154.0,40.0,284.0,600.0,5273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,59.0,30.0,22.0,0.0,0.0,600.0,4501.0,610.0,4763.0,0.0,0.0,0.0,0.0,230.0,608.0,390.0,1107.0,380.0,1088.0,0.0,0.0
