RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1444.6774561151094,1439.4458742575312,1435.3419147863433,1440.586658654698,1446.6544411056418,1446.872251326255,1447.3948675841036,1443.8479891752554,1444.787937003177,1441.9610908315556,1442.5711467444507,1430.7082003889354,1423.1770602993552,1406.0901636857511,1405.0727162983453,1394.3596458582815,1392.1564746138954,1386.957176924317,1385.0074264402224,1386.9692129775076,1381.0984166153698,1374.69524702883,1362.9268699122383,1358.7956551122072,1357.4402785534085,1368.3012791647077,1373.2416827624606,1378.5731674526746,1383.46438101074,1390.465476596359,1391.3343716535978,1385.4420299340463,1397.524131243325,1413.041222411268,1427.6609615544362,1431.1849249903182,1436.0300936624983,1437.487931754066,1433.806135327567,1429.477851926447,1428.6151662907166,1427.360875864971,1424.5168255338976,1417.48263723881,1411.365750774843,1407.2463689844467,1412.0195543492553,1415.5599519082575,1419.534471107068,1420.0357057700082,1423.7639603724265,1429.2613819561338,1430.580984612886,1431.7785062605717,1436.4200134926716,1446.781248467107,1449.2353207499502,1448.7152198067286,1442.871559345708,1442.0339013583502,1439.583670019252,1438.9584884265637,1455.3783631491665,1462.147949754205,1455.9097819857589,1450.301603276573,1441.797518300619,1448.4843407686,1461.5252804992692,1466.0477008705534,1478.5443798011636,1484.895772872116,1502.813774251273,1510.08562601865,1519.011911029436,1531.3239248766338,1555.4051142942285,1585.03743917229,1616.873446773463,1639.607105987619,1656.02583435318,1676.998272275937,1699.0065795894493,1715.392662753081,1718.1418362700756,1723.305514657981,1729.9476075892417,1750.0069873865334,1764.8590638517835,1778.817018465014,1784.6142947792505,1782.960752903629,1786.1417086269098,1785.334724074086,1780.7033634322993,1782.5249070735815,1797.7186192968225,1805.191211952989,1815.025649130916,1798.7817194918948,1803.3362443572848,1798.7701874107509,1800.0293210525274,1802.284773708508,1806.8217418880208,1811.805434231709,1806.752271664179,1803.127075343107,1800.1521742960265,1809.8784718113936,1809.836291840505,1820.491286698869,1815.7591770918327,1820.4062572477992,1817.546182695812,1816.8843691011075,1812.530920254895,1811.0980485796808,1818.2007172944636,1817.516340486672,1822.144734621369,1814.3693585580056,1812.0513820336928,1810.599664262048,1811.230349617589,1808.7423555047824,1810.2171887204545,1810.9036316770596,1812.1108132628883,1811.0068407907956,1808.4339855536543,1809.4776186479728,1803.813488431223
61148,2,8701,zip,NJ,NJ,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385.0
91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,1239.9747888526306,1237.1370813320266,1245.786089757715,1250.648134901865,1254.381767614509,1258.448792240714,1258.960206283753,1263.6673076180723,1266.7900931013046,1271.8795381817872,1274.481638152876,1276.4008185524308,1274.6717616336166,1275.471640725981,1279.288351332258,1281.108780305677,1280.8065472920202,1273.3387709663114,1269.2071711421754,1269.678323344178,1270.0647389162843,1274.2795099726925,1268.9878660277254,1267.0598643434744,1263.72508607216,1267.9037539080475,1271.4916554180795,1273.6591581399232,1275.807125491623,1280.4102227468684,1286.9481145008897,1289.7596192399765,1296.7314732036425,1300.747834098892,1309.399940341912,1314.0474425048144,1324.8582552400176,1332.501539472913,1331.5014415195312,1331.1210514471138,1328.568254854979,1332.6726123746732,1331.5671366660445,1336.6009464516433,1335.50185190239,1336.7705503870263,1340.6244030155628,1340.8134640217231,1338.4406775149034,1335.581140649857,1338.8639674953909,1342.9699663008885,1349.1452912785394,1350.466997573997,1354.1872741499126,1354.0716890506576,1356.7071594966635,1358.2604345525258,1357.7681251191543,1361.4691832624094,1364.7943810338013,1368.5477816421562,1383.2883631304976,1383.6595548830992,1380.435208605522,1378.8555904415305,1377.958774652612,1389.9348784809945,1400.6031975973333,1410.9344854650856,1424.0990571369132,1437.4934118986382,1449.0014365398504,1450.4036946572674,1455.327759152848,1474.8303053103762,1512.2369072458523,1542.8360326504603,1568.288958975606,1573.6270740294542,1590.4232187176196,1609.8807919038445,1622.1096639575755,1635.0447995308568,1639.8414019554375,1670.9021023956177,1683.0192483625094,1689.885862439029,1674.5954981988696,1669.3443010300282,1693.1183950884408,1724.6160266697375,1734.3235871550164,1730.402104277361,1724.6190443235027,1729.626203654884,1729.913422857604,1725.2910654394675,1731.8204938564954,1739.8769631720545,1751.691837741248,1758.5819944726284,1749.5651981025674,1750.1867200869474,1752.6309202958282,1754.8025375397804,1760.3069214817033,1757.9263355882213,1772.0658454705294,1773.6829390392213,1777.7026150515078,1782.634174322708,1784.2347736832928,1793.254417921385,1795.0770429823249,1798.0923740852518,1794.9299714743456,1794.9560760982024,1801.3314742914836,1802.643507862241,1808.9939918691637,1812.5832519705616,1812.117066357153,1810.116494134499,1812.0779588890423,1808.410646325616,1811.513479886627,1807.6740104638525,1810.9677985690944,1813.8263210582677,1810.0696288273195,1810.9804240275816,1800.5474242424243
62080,4,11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285.2205174357355,2304.75
91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1121.6637422205374,1122.6887840687036,1130.4332762632273,1137.6377163581255,1139.761342709536,1138.6064465202005,1134.5940591055562,1136.006382957759,1141.643345096247,1142.7749707979697,1145.1377333794992,1137.1761355928152,1151.124376700686,1150.6700256556433,1160.866736126217,1150.787038649282,1145.0774195386286,1136.6059896355305,1139.4280585118122,1144.1515609969383,1143.039817621436,1141.5192815176108,1139.6378435500408,1151.2631274958896,1148.042692720745,1153.9060723284504,1152.7657304100296,1153.5611195911204,1157.884322496502,1161.877822874451,1167.9492609921583,1169.051687312298,1182.464287059717,1197.8979361616755,1204.618987409199,1198.444685548551,1195.8424575358792,1201.2082476767048,1200.0689152126488,1203.116222699534,1198.1587477769103,1206.3601412974265,1201.0400587441402,1206.5079170399908,1208.157180694306,1210.6387066189127,1216.4404900190657,1222.1764003849692,1226.5387934995747,1222.0265311031449,1228.1060657795208,1234.0135188230138,1243.4272650738867,1243.5147196416044,1250.7668438455614,1251.789839712769,1250.8572582161385,1248.7109886626995,1248.4998336608903,1252.1989235296512,1257.8910299377744,1264.9962195796725,1274.3335645678833,1271.6334735901396,1271.9692465984865,1275.0500761178043,1275.8862160910544,1272.5136824105562,1272.6116776725637,1291.532288006956,1299.9340296256537,1307.9168560495532,1311.9808023983317,1333.9067167656524,1341.541141378012,1354.093909044476,1361.5510552499168,1380.7870073604324,1414.3741756786917,1457.187254298036,1492.079738846346,1491.4814738896798,1483.6209156538678,1492.04570821983,1507.4189971675144,1516.55432206993,1517.4013108669865,1523.6258592674176,1538.1824425366715,1549.4898678569946,1554.7259438882195,1543.276795493072,1537.077827604223,1528.2327580892202,1540.9931597047018,1542.51071118551,1555.3436245869857,1549.0738451030447,1557.3606417681174,1556.58749461514,1564.2145545267683,1563.5246195754928,1561.4074535148357,1564.8477732869974,1564.7861203656696,1587.9256673154282,1591.2761975001126,1594.294053743488,1581.8281784422354,1582.1892873367883,1584.5473103210884,1594.0794056247112,1605.3198153472906,1606.7072408487886,1601.8683150421705,1590.9142242056355,1591.8192423776509,1597.361172692387,1604.9290462998215,1607.6684011588063,1605.493472392252,1611.0918135664904,1609.6098048733452,1605.129780330038,1593.3856091919392,1592.9030504479674,1597.97289261295,1607.429356705096,1608.38324361192,1595.7255253595558,1586.2917768620227,1581.8024313199985,1585.0987455954898
93144,6,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.077882338744,1104.2230908497734,1099.6046584168823,1100.8865199551326,1116.0014834925053,1138.1392301670571,1154.5582900489703,1154.601231879903,1153.3953060942283,1161.1922597273804,1192.326927630582,1202.9305907717248,1206.7018805502798,1223.0300147362502,1252.2692190709056,1276.8585226785722,1292.2358811453887,1287.2401524588715,1295.3015464552625,1299.52085372971,1326.2917075749524,1340.8390675200076,1346.1595174923357,1344.385068279228,1346.024881227769,1348.6864091838877,1357.1427417558527,1361.498776549918,1361.2395781768212,1369.996770678353,1372.6679727635158,1379.4377069913164,1371.3790726781124,1365.596254844946,1369.0625797768553,1388.4635714754747,1404.0530268348132,1408.5626428166315,1401.3733315705326,1393.9971091886823,1392.954595238276,1391.8271775279272,1403.3804304663915,1412.0955474613347,1427.2800294115227,1436.2368045175092,1436.6456606101042,1431.692949044707,1428.594500572275,1430.8159164097372,1435.8326197451945,1443.360438260065,1449.0403760313145,1453.5315919489988,1447.4832733544747,1442.0362785145703,1433.175738491528
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,,2016.7691379665152,2050.7048057353977,2061.6337714285387,2063.307682954408,2049.801351530583,2078.209861658555,2078.201190691316,2085.4654489941768,2075.6601460435822,2066.7190986675205,2076.177816923999,2060.3858521800685,2084.950512949559,2073.549110904634,2084.1145956247915,2073.58956111707,2106.975937842881,2093.2103798669395,2102.199203461265,2085.8810248871105,2089.614849315395,2068.6573172302114,2076.678825115055,2085.6050746664914,2106.488454108192,2099.079993059908,2092.4361407192414,2091.660513800024,2099.535339080551,2130.27223081775,2123.1689176453715,2134.0910048740457,2123.5768909596823,2151.0160826334395,2149.899368747194,2160.739324995064,2151.110590754853,2167.8574192334795,2180.2772461834265,2200.4698597294687,2196.5195051709293,2190.810618009736,2210.367435005884,2228.6901794144915,2257.0943551456,2267.7728018762928,2251.390911338208,2230.916494312969,2227.0620063919305,2200.060836730756,2180.230514473946,2135.361124263674,2117.333929313252,2098.9499475201437,2073.258815655768,2054.8633138455443,2048.9698501781745,2050.851600252295,2065.301868364062,2065.853363461358,2082.471589627889,2082.901558556374,2112.209295866436,2137.7632119404257,2186.3920161594897,2223.041662126051,2266.2794446601138,2299.930498726226,2331.1552483758014,2355.7370383230227,2375.973621879984,2413.327632605098,2443.769088063363,2512.065269467752,2541.369375585124,2590.01756047612,2591.956536558896,2616.710893649657,2617.606774549869,2631.448691935001,2614.566041422396,2615.82149071921,2614.01318726473,2642.651197282125,2643.8993404834328,2636.897990563458,2621.825727882864,2633.082696529051,2664.1497531716977,2693.5831712876347,2721.485809822584,2722.064910928576,2720.838318225316,2710.308645702429,2735.231468215079,2749.3409528986645,2770.192871370158,2770.4303086987966,2788.2657253008083,2802.547405100246,2794.432199604461,2785.1227644454752,2765.138765699396,2790.786634461595,2831.361225375718,2864.78560751713,2872.211721961321,2868.666228789997,2874.455125102825,2892.1645698373463,2908.1310020784485,2909.6210165179045,2928.1735354735533,2944.525508204817,2974.913209927296,2980.1593593616785,2980.720319133363
92593,8,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,1169.8525677821417,1171.1772726129504,1165.56683537474,1158.4602830883443,1169.1194719490202,1176.5357625255765,1190.085420221593,1195.2792530046145,1200.5791086916968,1209.8833517623048,1214.4943635959537,1221.4268169436443,1224.7980193043572,1226.1316499983088,1220.3846110044185,1223.0687388207418,1220.2496734805686,1234.670937697372,1233.2654017467662,1241.732828143804,1241.5685191858413,1255.6662864221896,1257.4554961601586,1253.148483596999,1245.4923282064278,1244.7472843918954,1263.2416004077052,1269.9241881814685,1273.3431067751003,1265.2120159517997,1266.2248059983865,1270.9279739739663,1282.7053255985588,1283.0721576255305,1283.7015638307826,1280.7224688255235,1284.8281784535875,1294.1671669190196,1299.9153642924375,1303.2940004961642,1305.2593646073824,1308.574557786313,1310.869233106108,1313.1124572311644,1313.8879326274546,1319.6320949534545,1323.740623021985,1332.5319402285077,1332.9781504006964,1334.538104865428,1329.9286503468272,1331.3412404064163,1336.004406014539,1341.833314130847,1347.1533903812424,1348.9995697921556,1350.3523311062008,1350.511373953731,1354.528483801145,1357.9006729481048,1365.050340321139,1367.492379626969,1380.7076196816615,1384.9101772041172,1379.010042174215,1369.9824387898373,1372.276356128118,1369.8604054286125,1375.2576365615753,1376.4518009121705,1381.8984663278718,1388.7614967622044,1405.5709481722297,1423.0429662496815,1434.6446418151409,1444.9015733284768,1485.127831777451,1524.683224735958,1561.529428226233,1603.6509956531058,1631.7340739078577,1668.2137587955772,1673.728130109345,1696.594172353174,1694.9545333385404,1710.522212973843,1720.162064736893,1740.9239085053084,1741.1189907494656,1748.7874122840312,1750.7076451587286,1745.4567376956318,1749.565796034752,1739.3010858208947,1758.194813140653,1753.550124038885,1768.9686658993446,1763.809442474485,1764.4166804894055,1764.2185450522725,1763.461319434928,1754.4458879813867,1747.9992686104265,1749.4593715113074,1746.1321359540975,1757.3729315194396,1736.8869217379654,1741.7377607332403,1734.0280983360149,1746.714236301095,1749.233128841614,1730.2335967021606,1719.0216169593552,1715.2590194093218,1719.0812670158164,1713.8581020052368,1706.0278010044683,1689.9634635156335,1682.5799785634404,1677.20836826577,1677.1478867733226,1662.0852393541536,1652.7303471558907,1656.3992686890865,1657.1466479005107,1654.322413289511,1645.6383431424738,1640.779471386522,1638.3369643997917,1637.5803528856902,1639.8106818665794,1633.3433017596278,1625.6363026281572
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.8076830209368,1956.3632515059744,2011.3086333057088,2025.1784160528384,2032.6752338030171,2032.650760112196,2041.0109691630173,2047.4070358712663,2066.253872426621,2133.5374839075944,2163.861125214515,2180.187445187635,2112.805615280428,2157.557428039904,2196.4181674331357,2235.418783372693,2255.500918515373,2251.853741032625,2247.0209817834366,2166.9705003672634,2156.5910816717237,2214.15102530478,2267.4375123407226,2335.4530044498183,2322.186042634336,2330.95008166486,2343.8449587993896,2337.5412328277544,2326.0891419902587,2373.797965092596,2387.150884263313,2557.0642667973552,2619.278910727441,2627.8390355225906,2587.865289436429,2574.3976732189367,2660.232636495356,2676.6213105663637,2684.835019655714,2716.985093012275,2765.124195519416,2771.854879674441,2803.6363797799227,2736.8578194939096,2722.689212144982,2695.9712715086625,2715.222222222222
95992,10,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.8255431801085,2456.228470152213,2453.8895418080137,2472.718297931558,,2466.287348709964,2555.383900794625,2586.2741449300265,2655.935082471792,2638.858765315766,2633.5161556908147,2635.9112008224697,2648.1075339147683,2678.1361848013166,2686.9263349163457,2722.850639642336,,2656.257280702256,2670.96158198132,2731.752438948078,2773.8192892000434,2801.203974725184,2801.228685510827,2787.137068725316,2791.0024958209133,2778.152437933646,2772.9961063489054,2736.050958377529,2776.8209685802026,2776.521723919397,2722.2217872485294,2647.7785714285715
